"RunPath","RelativePath","FileCount","HasResults","HasSummary","HasDiagnostics","HasSpec","LastWriteTime"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-19_16-44-20","2026-01-19_16-44-20","1","False","False","False","False","19-01-26 16:44:20"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-19_18-25-06","2026-01-19_18-25-06","1","False","False","False","False","19-01-26 18:25:06"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-19_18-28-33","2026-01-19_18-28-33","1","False","False","False","False","19-01-26 18:28:33"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-20_10-46-39","2026-01-20_10-46-39","1","False","False","False","False","20-01-26 10:46:39"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-20_11-15-28","2026-01-20_11-15-28","1","False","False","False","False","20-01-26 11:15:28"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-20_11-45-14","2026-01-20_11-45-14","1","False","False","False","False","20-01-26 11:45:14"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-20_13-35-25","2026-01-20_13-35-25","1","False","False","False","False","20-01-26 13:35:25"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-20_14-05-59","2026-01-20_14-05-59","7","True","True","False","True","20-01-26 14:21:19"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-20_15-30-09","2026-01-20_15-30-09","7","True","True","False","True","20-01-26 15:49:25"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-20_15-57-10","2026-01-20_15-57-10","7","True","True","False","True","20-01-26 16:15:53"
