run_path,timestamp,specification,spec_config,mnl_base,group,opt_method,analytical_gradient,success_all_groups,joint_ll,n_obs_total,n_groups_total,walltime_seconds,prior_correction,market_centering,hessian_condition,negative_eigs,command_line
outputs\estimates\fr\2016_gamspy\run_2026-01-20_15-30-09,2026-01-20T15:49:25.839617,base_vw,U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml,Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-6954.241572931234,425300,4253,1095.8371796607971,,,,,scripts/enhanced/enh_RURO_estimate_FR.py --mnl-base Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy --group joint --solver gamspy-conopt --spec-config U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml --warm-start U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy/run_2026-01-20_14-05-59/estimation_results.json --auto-timestamp --verbose
outputs\estimates\fr\2016_gamspy\run_2026-01-20_15-57-10,2026-01-20T16:15:53.553797,base_vw,U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml,Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-6954.241572931234,425300,4253,1062.921285867691,,,,,scripts/enhanced/enh_RURO_estimate_FR.py --mnl-base Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy --group joint --solver gamspy-conopt --spec-config U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml --warm-start U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy/run_2026-01-20_15-30-09/estimation_results.json --auto-timestamp --verbose
outputs\estimates\fr\2016_gamspy\run_2026-01-22_00-51-46,2026-01-22T01:09:36.790410,base_vw,U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml,Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-6954.241572931234,425300,4253,1020.0681962966919,,,,0,scripts/enhanced/enh_RURO_estimate_FR.py --mnl-base Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy --group joint --solver gamspy-conopt --spec-config U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml --warm-start U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy/run_2026-01-20_15-57-10/estimation_results.json --auto-timestamp --verbose
outputs\estimates\fr\2016_gamspy\run_2026-01-22_13-38-57,2026-01-22T13:56:47.768311,base_vw,U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml,Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-6954.241572931234,425300,4253,1020.4681334495544,,,1.1784512618552699e+25,0,scripts/enhanced/enh_RURO_estimate_FR.py --mnl-base Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy --group joint --solver gamspy-conopt --spec-config U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml --warm-start U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy/run_2026-01-20_15-57-10/estimation_results.json --auto-timestamp --verbose
outputs\estimates\fr\2016_gamspy\run_2026-01-22_15-32-40,2026-01-22T15:47:29.476759,simple_vw,U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec_simple.yaml,Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-7009.05969001475,425300,4253,860.371630191803,,,4.016812443737215e+22,0,.\scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy --group joint --solver gamspy-conopt --spec-config U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec_simple.yaml --auto-timestamp --warm-start U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy/run_2026-01-22_13-38-57/estimation_results.json --verbose
outputs\estimates\fr\2016_gamspy_fixed\run_2026-01-18_10-55-25,2026-01-18T11:13:49.473552,base_vw,scripts/enhanced/estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl_,joint,L-BFGS-B,True,True,-4863.608194728527,425300,4253,1006.3768723011017,,,,,U:\Desktop\Nizam_Hisham\MNL\scripts\enhanced\enh_RURO_estimate_FR.py --group joint --solver gamspy-conopt --spec-config scripts/enhanced/estimation_spec.yaml --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl_ --output-dir outputs/estimates/fr/2016_gamspy_fixed --auto-timestamp --verbose
outputs\estimates\fr\2016_gamspy_tight\run_2026-01-18_16-55-57,2026-01-18T17:13:32.303124,base_vw,scripts/enhanced/estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl_,joint,L-BFGS-B,True,True,-4863.608194728527,425300,4253,992.1823427677155,,,,,"scripts/enhanced/enh_RURO_estimate_FR.py --group joint --solver gamspy-conopt --spec-config scripts/enhanced/estimation_spec.yaml --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl_ --output-dir outputs/estimates/fr/2016_gamspy_tight --auto-timestamp --verbose --solver-options Tol_Optimality=1e-9,Lim_Iteration=20000,Lim_StallIter=200"
outputs\estimates\fr\2016_legacy,2026-01-09T10:21:59.960268,base_vw,scripts\enhanced\estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,False,-5045.611671128795,425300,4253,2037.9824306964874,,,,,scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs\estimates\fr\2016_legacy --group joint --method L-BFGS-B --maxiter 1000 --n-jobs 32 --spec-config scripts\enhanced\estimation_spec.yaml --warm-start outputs\estimates\fr\2016\estimation_results.json
outputs\estimates\fr\2016_scipy\run_2026-01-20_12-31-49,2026-01-20T12:44:47.676663,base_vw,scripts/enhanced/estimation_spec.yaml,Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-7103.746870145102,425300,4253,735.1437575817108,,,,,scripts/enhanced/enh_RURO_estimate_FR.py --mnl-base Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs/estimates/fr/2016_scipy --group joint --method L-BFGS-B --solver scipy --maxiter 2000 --spec-config scripts/enhanced/estimation_spec.yaml --warm-start outputs/estimates/fr/2016_legacy/estimation_results.json --auto-timestamp --verbose
outputs\estimates\fr\2016_scipy\run_2026-01-20_14-29-22,2026-01-20T14:44:36.187088,base_vw,U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml,Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-7103.746870145102,425300,4253,863.2489814758301,,,,,scripts/enhanced/enh_RURO_estimate_FR.py --mnl-base Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_scipy --group joint --method L-BFGS-B --solver scipy --maxiter 2000 --spec-config U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml --warm-start U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy/run_2026-01-20_14-05-59/estimation_results.json --auto-timestamp --verbose
