"Root","RelativePath","FullName","FileCount","SizeBytes","LastWriteTime"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\DE_2014_2016_panel\pooled_ascsON_q99_nosp","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\DE_2014_2016_panel\pooled_ascsON_q99_nosp","14","422537","26-11-25 12:18:20"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\female_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\female_ascsOFF_q99","21","246047","21-11-25 18:25:40"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\female_ascsOFF_q99\separate","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\female_ascsOFF_q99\separate","14","230989","07-11-25 14:34:20"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\female_ascsON_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\female_ascsON_q99","14","312499","07-11-25 14:32:39"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\male_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\male_ascsOFF_q99","30","527594","21-11-25 17:50:39"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\male_ascsOFF_q99\separate_2015","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\male_ascsOFF_q99\separate_2015","14","221326","07-11-25 13:06:21"
"U:\EUROMOD-STORAGE","reports\mle_dcm\boxcox\pooled_ascsOFF_q99","U:\EUROMOD-STORAGE\reports\mle_dcm\boxcox\pooled_ascsOFF_q99","14","263988","07-11-25 11:02:52"
"U:\EUROMOD-STORAGE","RURO1","U:\EUROMOD-STORAGE\RURO1","750","6683547024","08-12-25 01:23:00"
"U:\EUROMOD-STORAGE","RURO1\_bestwithses1","U:\EUROMOD-STORAGE\RURO1\_bestwithses1","17","904050","08-12-25 01:23:01"
"U:\EUROMOD-STORAGE","RURO1\_bestwithses1\2016","U:\EUROMOD-STORAGE\RURO1\_bestwithses1\2016","17","904050","08-12-25 01:23:02"
"U:\EUROMOD-STORAGE","RURO1\2016","U:\EUROMOD-STORAGE\RURO1\2016","9","33261239","05-12-25 20:29:52"
"U:\EUROMOD-STORAGE","RURO1\2021","U:\EUROMOD-STORAGE\RURO1\2021","100","950048091","03-12-25 10:50:22"
"U:\EUROMOD-STORAGE","RURO1\2021\outputs","U:\EUROMOD-STORAGE\RURO1\2021\outputs","85","1370927","01-12-25 19:30:29"
"U:\EUROMOD-STORAGE","RURO1\2021\outputs\plots","U:\EUROMOD-STORAGE\RURO1\2021\outputs\plots","81","1366053","01-12-25 19:30:37"
"U:\EUROMOD-STORAGE","RURO1\actua_1","U:\EUROMOD-STORAGE\RURO1\actua_1","22","998814","06-12-25 16:59:08"
"U:\EUROMOD-STORAGE","RURO1\actua_1\2016","U:\EUROMOD-STORAGE\RURO1\actua_1\2016","22","998814","06-12-25 16:59:10"
"U:\EUROMOD-STORAGE","RURO1\bad_results","U:\EUROMOD-STORAGE\RURO1\bad_results","3","16224","03-12-25 11:13:54"
"U:\EUROMOD-STORAGE","RURO1\bad_results\results2","U:\EUROMOD-STORAGE\RURO1\bad_results\results2","3","16224","03-12-25 11:13:54"
"U:\EUROMOD-STORAGE","RURO1\best_by_far","U:\EUROMOD-STORAGE\RURO1\best_by_far","16","891297","07-12-25 01:17:57"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1","U:\EUROMOD-STORAGE\RURO1\enhanced_results1","120","3929339","06-12-25 18:57:41"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\2016","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\2016","22","900266","06-12-25 18:55:41"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\data_of","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\data_of","0","0","06-12-25 18:57:38"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\estimates","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\estimates","0","0","06-12-25 18:56:20"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\estimates\fr","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\estimates\fr","0","0","06-12-25 18:55:41"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\logs","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\logs","11","165258","06-12-25 18:56:20"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\post_estimation","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\post_estimation","18","499431","06-12-25 18:56:20"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\post_estimation\fr","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\post_estimation\fr","18","499431","06-12-25 12:02:08"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\post_estimation\fr\2016","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\post_estimation\fr\2016","18","499431","06-12-25 13:08:36"
