param,beta_l0_sm,beta_l_age_sm,beta_l_age2_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_age2_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_E_drgn6,-0.23818522780333845,-0.03945595649042595,-0.25094057015528154,-1.7164835961541542,-0.2169431033416105,-0.040071710128687356,-0.2346406834394169,-0.10549532588863755,-3.050744425734388,-10.437994340439694,19.612653022493014,0.6853674943465711,0.4302327747807802,6.158867841994027,3.6084851449658197,18.33954125820722,0.0,0.0,0.0,0.0,19.612653022493014,0.0,0.0,8.912271888728014,4.531135966723251,1.0692295539326473,0.563747509474394,5.329989182079399,1.6341924385377107,1.0901057956152713,3.844239094385496,14.287079395676415,2.9246082896139836,3.40125084735712,14.74303541659389,19.773046640984894,4.299686839292834
beta_E_drgn7,-0.18272816050816826,0.01879322787746186,-0.2678366624037847,-1.4122549687636217,-0.2059300348873931,0.018015555630481867,-0.2370730812261791,-0.16638513528119817,-3.2703853375036633,-9.542845538684697,17.55708400591525,0.5884158818405663,0.4226094538813404,5.4900798789558864,2.940998820272563,16.823342305846424,0.0,0.0,0.0,0.0,0.0,17.55708400591525,0.0,8.01501714391349,5.160198052875942,0.9557428724349194,0.5032163077024052,3.7783610747913006,1.7322662286588901,1.2047315766672895,4.206722049234591,11.891557978431077,2.361787040125508,2.8584884993199013,11.64391025572363,15.425143320401066,2.7470911539640914
beta_E_drgn8,-0.2066218761539904,-0.03729753526395827,-0.15232114851543363,-1.4217170399670387,-0.2652911922437897,-0.030876496413770004,-0.2531080276881815,-0.1966761425863752,-3.9594223749734017,-9.16047704623282,20.72460256322377,0.6414076486044153,0.5499848777288046,6.367784216475111,3.3442222237570602,26.548540572705186,0.0,0.0,0.0,0.0,0.0,0.0,20.72460256322377,12.844871279303502,3.6200625212775677,1.0166698489705746,0.703379374255219,4.413793083556522,2.2869290471213795,1.2596554471947434,4.993006846772767,15.98824445856246,5.552229946051147,3.6638862602942406,16.862887089950135,21.82967606277743,4.316246705240927
beta_E_drgur,-0.8902356392145551,0.06510030205072163,-0.9935371607732187,-6.427796810964889,-1.0572062619865754,-0.09176822123927046,-1.0382093395655985,-0.7631420960706461,-15.772135064197435,-39.66508368995966,85.0367951818067,2.7997653784584307,2.2268590659316456,26.471895560891866,14.48056536209698,92.24323752970876,9.684554309539248,9.176593127237734,7.018598544623327,11.57418660379583,8.912271888728014,8.01501714391349,12.844871279303502,85.0367951818067,0.0,4.3607614531727945,2.3990990948583852,19.14665280443206,8.838330899800292,5.975399301269759,19.633919578348944,62.411222945583106,18.107918793512546,16.234659465799208,59.504124290752834,76.50028889292389,18.801607433727664
beta_E_drgmd,-0.334865010936611,0.03932189257225947,-0.37216472253223654,-2.446436818479606,-0.42109440684362975,-0.030042085782441663,-0.43339190980788306,-0.27550951913035504,-6.20269379739955,-17.52993235832357,33.4540296604045,1.1211127923528486,0.9458210638703823,10.336591584716272,5.607152347855699,36.50714839737215,7.822552608093454,3.5386416395674396,4.0190563098094865,2.910140321484911,4.531135966723251,5.160198052875942,3.6200625212775677,0.0,33.4540296604045,1.713295963171365,0.937025835376458,7.501354178120711,3.327436134790781,2.451561180362357,7.690913750501612,25.305357148164568,6.078406778588727,5.1036566218242925,23.73486963454051,29.63730993686707,5.665019106985033
beta_occ_2_m,-0.20027526233985948,0.013098968721977097,-0.21794358214837145,-1.4161937158376685,0.0,0.0,0.0,0.0,0.0,-4.839822047182237,8.544770181557007,0.2569655742715763,0.1446273649635155,1.4736178351519202,2.190433324800662,9.442403737654974,1.511562295117709,0.5859467856734553,0.6805093677348891,1.800126480449633,1.0692295539326475,0.9557428724349195,1.0166698489705746,4.3607614531727945,1.713295963171365,52.53412386840809,-2.7397419224944026,-23.214738391232164,0.0,0.0,0.0,-10.15778747264938,-0.41150565515928483,-4.508522029523109,-12.339659455417877,-16.019674569914542,-14.65745516895739
beta_occ_3_m,-0.10129403932331059,0.044859875238306784,-0.07772128846104544,-0.6693327510340192,0.0,0.0,0.0,0.0,0.0,-2.935941170445407,4.755303983814118,0.08771866344471407,0.1932772850098918,1.5093362780339383,0.916344661224638,5.301341236185735,0.774617250674959,0.3382636270226232,0.41757145053440614,0.9206527592940317,0.5637475094743939,0.5032163077024052,0.703379374255219,2.3990990948583852,0.937025835376458,-2.739741922494402,30.134874260905427,-12.792974297172659,0.0,0.0,0.0,3.339269029358988,0.830357027564341,0.1302103049251287,4.987218612496788,5.505266329603863,0.23689449305810706
beta_occ_4_m,-0.7335642525765718,-0.03178618850366501,-0.843929770715943,-5.467190894738817,0.0,0.0,0.0,0.0,0.0,-23.76066922347958,37.378695026360035,1.3625922972898645,0.8630903943733635,12.295615011798477,7.027311649946122,40.117538204994595,6.508538261654767,3.010885222685015,3.0709048650084148,7.048019964769173,5.3299891820794,3.7783610747913006,4.413793083556523,19.14665280443206,7.501354178120712,-23.214738391232167,-12.792974297172657,156.73075088703723,0.0,0.0,0.0,82.60125195034702,11.525199795685662,25.338967000300723,87.395560013274,121.96011386072996,48.46191990963071
beta_occ_2_f,0.0,0.0,0.0,0.0,-0.35155612968091454,0.05091393885664913,-0.36340363128237857,-0.26110588361458065,-5.580067516076898,-6.2359039019243605,15.621977919808103,0.522783256549371,0.7283791916788005,5.08907094476098,1.879487296151703,16.65068694667177,2.4392701696134136,1.5642258328468763,1.796363104067658,2.1651480240723653,1.6341924385377107,1.7322662286588906,2.2869290471213795,8.838330899800292,3.3274361347907804,0.0,0.0,0.0,109.17941408902935,-15.79635978945017,-54.52457105091908,-26.297393534658283,-5.114725357262482,-13.01103361579343,-23.605338557208107,-29.704496829360977,-16.924600563521174
beta_occ_3_f,0.0,0.0,0.0,0.0,-0.2746682242958836,0.016938441882532813,-0.239720756887512,-0.22567042573458412,-4.239176519228181,-4.795821633485904,10.838597472136666,0.26534571509260896,0.32611632476423214,5.28131743029577,1.2906032171634445,11.284517349842279,1.564395395790291,1.0764262902815305,1.2995362238249766,1.5730976983356524,1.0901057956152713,1.2047315766672893,1.2596554471947439,5.975399301269759,2.4515611803623574,0.0,0.0,0.0,-15.79635978945017,82.81456801549612,-39.65984520289472,-0.48928136477847983,1.2547621375046538,-2.103010227630498,-3.9520725038377655,-7.550553444746464,-19.969761901038225
beta_occ_4_f,0.0,0.0,0.0,0.0,-0.8602387733249132,-0.13643156268626466,-0.8786254277829926,-0.5925740625295924,-12.737110445828058,-13.72556120995987,35.18738575363177,1.6297348357765769,0.9741339335990746,10.075902869590603,4.358893229184944,35.36750091379771,4.931832954809558,3.100747198186011,4.151784749690055,4.887833031308183,3.844239094385496,4.206722049234592,4.993006846772767,19.63391957834894,7.690913750501613,0.0,0.0,0.0,-54.52457105091907,-39.659845202894715,184.2920273627842,94.83743817181042,19.758253593032848,35.509819639239815,91.15894838996876,115.85262462806615,71.19099559581151
beta_w0,-2.4410988349117755,-0.1975964675525427,-2.00193054292059,-15.650075159466262,-2.5510578764492884,-0.026278726899955585,-2.454277522793362,-1.8226967063403468,-33.96041919497621,-70.815266516995,116.74208939029445,-1.6666936596358561,-1.3317487968352657,46.26763621704933,48.30669022850826,126.4012266264402,19.662450340522213,8.510122348482087,11.716675628735757,20.078821991886223,14.287079395676415,11.891557978431079,15.98824445856246,62.411222945583106,25.305357148164564,-10.157787472649384,3.339269029358988,82.601251950347,-26.29739353465828,-0.4892813647784784,94.83743817181043,7401.534792566705,961.5592040920064,3155.685173960939,7602.299364971093,10002.42738750312,4371.6528734098165
beta_w_educL,-0.4981842190666268,-0.07175862765939545,-0.547160415538696,-3.231383622379065,-0.4222264066307291,-0.10421714069859533,-0.50534362559256,-0.28213017014259956,-6.207458454830502,-27.736732771386336,28.827040448364063,-0.25718291837008844,1.3323970171006554,11.222059297360476,8.06012686241505,47.693005539814266,4.863415595148724,2.2152865473294527,2.466362612689827,4.449924152595523,2.9246082896139836,2.3617870401255074,5.552229946051146,18.107918793512546,6.078406778588727,-0.4115056551592857,0.8303570275643409,11.525199795685658,-5.114725357262482,1.2547621375046536,19.75825359303285,961.5592040920064,961.5592040920064,0.0,1119.5039240516285,1649.683790492901,588.960548448577
beta_w_educH,-0.8496296982377539,0.13612879524514723,-0.5100235147811996,-5.135531621645447,-1.1139551187685481,0.1766780814699251,-1.1122923335671797,-0.7821380383959853,-13.468305195291032,26.01637614308381,26.838737349656167,-0.9485780685734728,0.42309754059587645,16.82504550983667,20.800477229007477,17.076283078838692,3.189472284405602,1.8260362978861806,3.2761878296759104,3.7119062145826445,3.4012508473571192,2.8584884993199005,3.66388626029424,16.23465946579921,5.103656621824292,-4.50852202952311,0.13021030492512628,25.33896700030072,-13.011033615793435,-2.103010227630497,35.50981963923982,3155.685173960939,0.0,3155.685173960939,2778.922612490588,3226.164037126,1563.0919812803277
