,beta_l0_sm,beta_l_age_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_h_pt2,-0.010729769856687006,-0.0079461350466146687,0.015597018362283029,-0.0083862764434999761,0.022332734307264488,-0.00012827382383003372,0.026484402964758371,0.051633317440445921,-0.0086069105149449987,0.066776350758123951,1,0.19095498201566927,0.098569384017533165,-0.003978689406183576,0.0074350587582478972,0.03740935143326099,0.010546085774473621,-0.0056633622879671179,0.012209645259314273,0.00041960930457414714,0.0069031615055194697,-0.053969279466822222,-0.030969248631644967,0.0021591451461262087,-0.0016781270876732824,-0.010029685351799914,0.050401009392002802,-0.021444534850334054,-0.033061366939643823,0.022028821579716716,0.0015960237989496907,0.019338814117065253,-0.036945572197200578,0.038475492529568132,-0.025485666126648959
beta_h_ft,0.06072002399560076,0.024846138828142551,0.050675072778235776,-0.039461447015122962,0.066059889191288482,0.0046856528206105068,0.12938673890119259,0.10371508744185035,-0.074684726103952034,0.18506601484413254,0.19095498201566921,1,0.34887908349425895,0.0077633575154487829,-0.0017571801108706058,0.0097820863330369736,0.0031692808334648085,-0.0053637728596410018,-0.00049573521005531404,-0.0043318893180401162,0.0021764027478767488,-0.010350372248433375,-0.0041237928532446419,-0.0037414421573202556,-0.014556783697687094,0.049686697335383792,0.011070711909158383,0.0077193711720550196,0.083801657116245834,-0.014659711768316017,-0.016884773557140045,-0.0072970927621258622,0.017736248697354667,-0.013763425407099177,-0.027033656904261783
beta_h_lh,0.46581105120528982,0.10431642483111468,-0.001904765015865176,0.34654863996854296,0.026602560295844051,0.042276634877865656,-0.072336407369546066,0.021087820314679838,-0.025452071765981934,0.079288754708548806,0.098569384017533138,0.34887908349425883,1,-0.013198762905739255,0.0035982655534344808,0.010440159347367275,0.001334847542930171,-0.012985717748485932,-0.014019318496097589,-0.00035140388257294368,0.0028445129874889088,0.0053146088872053293,0.0092453185749931024,-0.044471640563774444,-0.031629877727785312,0.046430202221718356,0.036633886938452397,-0.0081670406785725805,0.098790397631715515,-0.046257750040845792,0.023237866336216873,0.054496668528068587,0.0031644554550023345,0.0087863085767217776,0.074275277585623647
beta_E_gsur,0.0037413202758589895,0.059048232040149203,0.0099236877733159777,0.0012681708811339172,-0.0073703670532950022,-0.022062755833876801,0.003714484877687255,0.069932105056253704,-0.54829108978579033,-0.026813416152480771,-0.0039786894061836081,0.0077633575154490535,-0.013198762905739346,1,-0.027741496671607843,-0.23159394234907113,-0.021689220377439162,0.027637684813146907,0.012109743612984095,-0.034129211255379342,-0.18607640329288039,0.031808241017682592,0.036045429971637372,-0.029105297901791335,-0.013346426327882063,-0.095851765075226664,-0.015084107905025861,-0.025908732838397473,-0.040794180384677123,0.031343100767966564,-0.064075862710315998,0.034967192687080158,-0.034438484095930165,0.039238620859853406,-0.02092064584936279
beta_E_drgn2,-0.010134215437278864,0.0045616525468858346,0.0032837476514377731,-0.0040206085860793467,0.018398808694901507,-0.020161872186900451,0.011124993923007628,0.11298890426364326,-0.54661427473480617,0.012267445098125157,0.007435058758247886,-0.0017571801108705967,0.0035982655534344335,-0.027741496671608131,1,0.46704288170176295,0.49927460459128481,0.59855939633993827,0.55953636349179858,0.54053418241017448,0.53760479437938813,0.23836247134174129,0.012499879014443415,-0.014853560775831371,-0.0027394361442553963,-0.027943961182437534,-0.0043367752217150597,0.018085978678962666,0.0059953651745546345,-0.015382772909745593,0.0090762610618747522,-0.034363776677736629,0.035969302657995882,-0.039629041877522156,-0.028369063525225596
beta_E_drgn3,-0.004733213738834831,0.0022064784038145352,0.0061913123125819812,-0.0014912308388321997,0.0076042551859442035,3.2014617973725417e-05,0.0062402135131785713,0.075261381674843461,-0.26919959883797967,0.014870632413602222,0.037409351433260976,0.0097820863330368799,0.01044015934736725,-0.23159394234906999,0.46704288170176161,1,0.38862872660886277,0.44996168712264623,0.43633570154991141,0.4315811530664444,0.47237339930761063,0.023233524345031665,0.024357814053714656,-0.016547266207086526,0.0082716336812395964,-0.019481196550539689,-0.0051583977923675139,0.025174941817835209,0.012658610381625857,-0.035844565494250545,0.021126371097542104,-0.014900511479076582,0.042120715411332138,-0.041664508425217697,-0.021523579749732295
beta_E_drgn4,-0.014435020540148008,-0.00032879603457403652,0.0097797402304326837,-0.0014497455755494563,0.012007078440248266,0.0039986056106823889,0.0098517869969456228,-0.064836638480998368,-0.48823132899992611,0.016037770256547262,0.010546085774473704,0.0031692808334650765,0.0013348475429302948,-0.021689220377437004,0.49927460459128392,0.38862872660886355,1,0.50749885101661119,0.46068093405882227,0.44213575637581926,0.45378705573146744,0.19957433246555298,0.14031322275977268,-0.0159073661908864,0.04228357448471852,-0.0057844055772660148,-0.039519636993210566,-0.030293113903336305,-0.036869339272446788,-0.024969027688106007,-0.014787585696757701,-0.012257670881447504,0.035662140725584907,-0.040426838158525137,0.0079435551396142209
beta_E_drgn5,-0.021398496760296547,0.039665475812776636,0.035717419438959119,0.0021191988892192495,0.0060283030909075363,-0.0029459290263375289,-0.0068892100450580118,0.11821382991887061,-0.62382955038248189,-0.004893925904239785,-0.0056633622879671023,-0.0053637728596408639,-0.012985717748485951,0.027637684813146431,0.59855939633993716,0.44996168712264767,0.50749885101661085,1,0.5420846553042189,0.52094868207659373,0.52383099348200401,0.32665292386627531,0.20058637441907723,-0.041044804876513977,-0.024434211352011362,-0.065571600980104672,0.012623967532263776,0.026344872902982076,0.025922565921014454,-0.0020583600355982422,-0.010402914428559182,-0.032509723089586169,0.018691281877524904,-0.021619034911107959,-0.037487305309473633
beta_E_drgn6,-0.032736420936942269,0.055557437165533276,0.042931843429108822,0.011274197269312706,0.019206173398381481,-0.04480259498065884,-0.0058867663615241915,0.11322156356223879,-0.49038470302022785,-0.0020838004075831285,0.012209645259314254,-0.00049573521005528813,-0.014019318496097695,0.012109743612982718,0.55953636349179636,0.43633570154991219,0.46068093405882088,0.54208465530421746,1,0.49445909043073338,0.49101274605729583,0.14868733264644096,-0.055104401562236123,0.0013421283188630405,-0.013811862678353024,-0.038994846919056539,-0.0087504255019587324,0.0072651346111610587,0.0037525473154676092,-0.0064689539079812843,0.0074281438796885675,-0.02457783570396083,0.01434655114489122,-0.018538871645965533,0.0034460242533954008
beta_E_drgn7,-0.015667947804795832,0.048686243204243439,0.026429337047813938,-0.006995268370122985,0.034578498469033318,-0.0085210702062748344,0.012999772710749483,0.050440825479021921,-0.4521026138577724,0.0090182693908740178,0.0004196093045741692,-0.0043318893180400372,-0.00035140388257299876,-0.034129211255379328,0.54053418241017337,0.4315811530664449,0.44213575637581842,0.52094868207659328,0.49445909043073422,1,0.48594932207316494,0.12667570210613094,-0.02560955043364279,-0.0132395722278577,0.013249985717494127,-0.012661344370098641,-0.028150336490418836,-0.010594724019919902,-0.020593711098236885,0.0018718072902390677,-0.0078742367407384217,-0.028243065531945926,0.015261083980593783,-0.019102713417075225,-0.021889032577249598
beta_E_drgn8,-0.0044341061229983113,0.020492289595695837,0.012101519035641765,0.0034925024810902945,0.0020486533565761064,0.0076719432711881705,-0.0034198333184721121,0.044901332181185194,-0.37888502985750572,-0.0002867759751742524,0.0069031615055194775,0.0021764027478769154,0.0028445129874889591,-0.18607640329288014,0.53760479437938724,0.4723733993076113,0.45378705573146683,0.52383099348200313,0.49101274605729645,0.48594932207316505,1,0.10396281647051751,0.034111306051285865,-0.0078265540038451719,-0.012316671700926509,-0.019343348674505011,0.015983238230804272,0.033150764102267201,0.02793744208545175,-0.010842278074355395,0.021415168124010526,-0.022458474361032623,0.018946708884214399,-0.023460407354948646,-0.018089167161375364
beta_E_drgur,0.0047224469151477518,0.0096721218895381,0.016777163287424478,0.0096540960691625793,0.024558617204664089,0.0019885709839764002,-0.020500610396385375,0.04393686874533391,-0.54972807801555512,-0.0018198935545545914,-0.053969279466822249,-0.010350372248433312,0.0053146088872053042,0.03180824101768296,0.23836247134174002,0.023233524345032088,0.19957433246555276,0.32665292386627592,0.14868733264644265,0.1266757021061313,0.10396281647051793,1,0.56388358077739853,0.04382049822701535,0.038880594352397567,0.038607935742995453,0.0026191958131731685,0.020662220198810945,0.023633151671808246,0.0034046645380831136,-0.028517790608292327,-0.043323003838629671,0.0041393824330638873,-0.001953418834679864,0.01976509517896112
beta_E_drgmd,-0.0061470443007577225,-0.00048356041048840034,0.023787611249128125,0.001648699137151227,0.0025315009615616666,-0.0081792064928743104,-0.0023220464362491617,-0.025288983721061781,-0.38303603516419882,0.015443814097983115,-0.030969248631645022,-0.0041237928532446557,0.0092453185749930729,0.036045429971636497,0.0124998790144414,0.024357814053714656,0.14031322275977209,0.20058637441907681,-0.05510440156223579,-0.025609550433643082,0.034111306051285629,0.56388358077739753,1,0.006117752039828543,0.013766042858485705,0.026087486505219196,0.0010239884463551514,-0.0023225354855687611,0.0032682032951578755,-0.0018876664002395254,-0.034167313630249302,-0.016428928514327434,-0.0034139600689435017,0.0065676084110397395,0.030482177826707476
beta_occ_2_m,-0.0073479973082362518,-0.043539017701248239,0.0073288449614844009,0.0030933542286733728,-0.012551854004665505,-0.0040274278155390661,-0.028011719911505417,0.0056011955440950041,-0.042893767986948862,0.018480646353375343,0.0021591451461262139,-0.0037414421573202421,-0.044471640563774464,-0.029105297901791255,-0.014853560775831279,-0.016547266207086391,-0.015907366190886341,-0.041044804876513921,0.0013421283188631201,-0.013239572227857477,-0.0078265540038451077,0.04382049822701542,0.0061177520398286731,1,0.17144919636269113,0.33394872323439256,0.062623852898353469,0.055734914916143082,0.077996242733826326,-0.034087246994401202,0.023363843650542709,-0.01408016467293037,0.043795830475456536,-0.038203456097367694,0.015212595828921077
beta_occ_3_m,0.035656004922362795,-0.035267451118148677,-0.040794390434306951,0.0028806915258199977,-0.010165246372943573,-0.0078929766223954142,-0.019762715075001214,-0.023354108969390729,-0.054347746300320139,-0.014034317220120886,-0.0016781270876732996,-0.014556783697687118,-0.031629877727785326,-0.013346426327882287,-0.0027394361442556032,0.0082716336812395704,0.042283574484718402,-0.024434211352011594,-0.013811862678353139,0.013249985717494014,-0.012316671700926636,0.038880594352397435,0.013766042858485598,0.1714491963626911,1,0.27250408919052282,0.052085128098493978,0.046984753088020609,0.065800574273424728,-0.020606759614880926,-0.0023276632354142942,-0.0098189690252685809,0.011027328922945818,-0.0036941351976748694,0.019554085197044688
beta_occ_4_m,0.025807575947078443,-0.0058717541634802197,-0.019136667613914374,0.015914175016174769,-0.011285465293106742,-0.012817278251523904,-0.019525899544762883,-0.00037093000140278419,-0.046321925682314455,0.016443546864026996,-0.010029685351799935,0.049686697335383861,0.046430202221718363,-0.095851765075226608,-0.027943961182437548,-0.01948119655053961,-0.0057844055772659506,-0.065571600980104769,-0.038994846919056483,-0.012661344370098408,-0.019343348674505108,0.038607935742995481,0.026087486505219283,0.33394872323439256,0.27250408919052282,1,0.1228157304116394,0.10887271606654603,0.14903654855513279,-0.042948531902706095,0.010785391593424707,0.033857572759583093,0.015819699332885812,0.0067790448100092191,0.01861742740721108
beta_occ_2_f,0.0046447076993324579,-0.0071369721773934854,-0.01836948656367287,-0.023319018145385936,-0.0099162260693345886,-0.034096575889395991,0.035450735510205826,0.014204685408179273,-0.071998865414597657,-0.0030285120958419777,0.050401009392002809,0.011070711909158357,0.03663388693845239,-0.015084107905026593,-0.0043367752217152392,-0.0051583977923674073,-0.039519636993210698,0.012623967532263521,-0.0087504255019588504,-0.02815033649041869,0.015983238230804282,0.0026191958131730232,0.0010239884463550493,0.062623852898353441,0.052085128098493964,0.12281573041163933,1,0.38060404103680462,0.51259315339310729,-0.0049450871066966688,0.022235338033226904,0.031022545166949841,-0.04175091237214347,0.052327102943532114,0.056930474227198324
