,beta_l0_sm,beta_l_age_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_h_pt2,-0.0010722061674119684,-0.001798446043231508,-0.0015107053127709962,-0.0050590643197578628,0.00087183160850485121,-0.0016312619405604747,0.0035948949103770419,0.018403396155150253,-0.02828650431841501,0.059975835052686374,1,0.14932252644914426,0.083992672249840888,0.0013418698057243866,0.0036724531796982871,0.0026212310006664087,0.0053322876883000747,-0.00019702317563349977,0.0046718105615750792,0.0042648565805882771,0.0028935467430216163,-0.0003551506213494022,-0.0028729956438626274,0.0022242054754120638,-0.0021438802245337656,-8.0527050978261499e-05,-0.0062092134480275429,-0.004339208072993493,-0.0032360391809322423,0.010737751206933852,-0.011354536970603913,-0.012089328839324254,-0.0062074744913046577,0.0071401274023119646,-0.011463965191605783
beta_h_ft,0.002139698242417182,0.019079039561919923,0.096402550367680792,-0.061977684200368761,0.043574366017236799,-0.029526176044692765,0.16495329924422372,0.05384538442787528,-0.057657081026549879,0.14566388637313943,0.14932252644914423,1,0.36773599555089842,0.0023884573664667069,-0.0013754167428202677,0.0025994546283423319,0.0042376164687880271,-0.0020075822374401929,-0.0015898548526146179,0.001934915437124799,0.0022676475861943216,0.0014364242676000905,0.0020541843615022566,-8.0802639587480827e-05,-0.0065241127864795537,-0.013077115839494511,0.01270104367607453,0.0035473911968076353,0.019624870818329511,-0.00054368869240673347,-0.0070463795380597783,-0.01254744718933664,-0.00045996206218510663,0.0030673388808011319,-0.012636613409065909
beta_h_lh,0.20808263461235782,0.054884907801780757,0.25975817899041659,0.11176411815384751,0.051709050877555549,-0.034686408265177361,0.23201043714281308,0.010501023281450993,-0.0077665044064658805,0.050601394108704061,0.083992672249840875,0.36773599555089842,1,-0.00096120032310215923,-0.0013036676457675749,0.0024812670580234152,0.0030995484807736775,-0.0021915007499021316,-0.0037630790841061933,0.0015488437172346214,0.0033038427004689554,0.00085267714966389373,0.00088046712646583521,-0.014768696744029699,-0.011496285277786806,-0.021720822277226815,0.030465581166100139,0.027261840384563082,0.040036436764479294,-0.0060948781025540891,-0.0033915978814973843,-0.0063235736588615555,0.0011176186984819092,0.0015044252298844736,0.00034206100034704173
beta_E_gsur,-0.01199932344985164,0.034490063156004461,0.019506440266437903,0.0017435641023162097,0.021328910667549987,-7.276372482494607e-05,-0.012949781758758699,0.014122166171682594,-0.56706561664932353,-0.0012883678896377783,0.001341869805724387,0.002388457366466706,-0.00096120032310215771,1,-0.058370840941233758,-0.29102894815997971,-0.049443194019180896,0.031479170952723255,0.032374329326781047,0.015326326919278785,-0.19365530131174499,-0.0025048170564653913,-0.0092336688572081764,-0.0099695632032574585,-0.0078207549534715769,-0.0029123206419766744,0.032600211984353582,0.03325305728848979,0.05433667867524903,0.003953156534206516,-0.10317891981850054,0.022306246901593982,-0.00257008896627793,0.0042285774036971181,-0.001107272393156399
beta_E_drgn2,-0.002858610853799369,0.010558701762062922,0.0051405888453037209,0.0097243499345888666,-0.0089090823590448915,-0.020958151433503464,-0.0054822273741538382,0.011706667930266262,-0.52613975231143983,0.0012551148114480972,0.0036724531796982879,-0.0013754167428202682,-0.0013036676457675778,-0.05837084094123373,1,0.47861832210257893,0.52837538539457485,0.5914561458315738,0.55382409671384047,0.53895269467499596,0.54843988520654574,0.24073125814886154,0.021016206626111342,-0.0057844430133389994,-0.0022087727952842689,-0.0077061406455577221,0.0075314634969959639,0.013968858666715336,0.014464566820933365,-0.0066031051895762008,0.0074263732719952475,0.0055854565561059962,0.0073027677477877527,-0.0084696706884083515,-0.0022421745826038059
beta_E_drgn3,0.001301889265702296,-0.0066495119781929141,-0.0032683606588523469,0.0043752054818705392,-0.019351667319281229,-0.015205452881641983,0.0057072262731928626,0.0065892816319000399,-0.23112408283759217,-0.00048906617530200655,0.0026212310006664091,0.0025994546283423323,0.0024812670580234134,-0.29102894815997982,0.4786183221025791,1,0.42640503496524013,0.44733700411124283,0.42517008006759499,0.42112341516776725,0.48793159379129469,0.059458632849375928,-0.039206738509061381,0.0041678970524637584,0.003300910327125448,-4.2652036937607362e-05,-0.0098010056759436307,-0.0051606312345323646,-0.010749390059077896,-0.0033826124776192268,0.032701945500474588,-0.0025075433465256997,0.00262339159016906,-0.0029059169309593497,0.0011874166006745149
beta_E_drgn4,0.0012142817740472271,-0.002906483058218032,-0.0036866436660206825,0.0043988604322363683,-0.0062229473898287365,-0.012189228887359193,0.0027129762063184508,0.020970395468398094,-0.46531309272642424,-0.0022653133199446334,0.0053322876883000738,0.004237616468788028,0.0030995484807736762,-0.049443194019180993,0.52837538539457474,0.42640503496524018,1,0.52564362061496706,0.49113377409762465,0.47836581484235341,0.48900928486479422,0.1983960146438061,0.033366807902814925,0.0035435139619092565,0.0025057137369508286,0.0058244842902527832,-0.0086513649744518108,-0.0034642834271248089,-0.0083510648824258061,-0.0042045178478944704,0.0072983620921878989,0.00096587466973104854,0.0034443736563335163,-0.0025898158622876723,-0.0059534380248493432
beta_E_drgn5,-0.0032080542444536363,0.0057610389463212544,0.0063235631952768016,0.011858988161193547,-0.020534709541209058,-0.022422265003849896,-0.0077004091873675209,0.010849609269767363,-0.61385825220387769,-0.00034559969448041001,-0.00019702317563350012,-0.0020075822374401925,-0.0021915007499021324,0.031479170952723193,0.59145614583157369,0.44733700411124289,0.52564362061496706,1,0.56057632972466442,0.53812967842278425,0.53500670767851055,0.29244570680236631,0.15336967203973409,-0.010222393668275789,-0.0051591258665295518,-0.0099160189414436526,0.016308372985273312,0.019925258914053917,0.023588014493435457,-0.0057108973410647827,-0.0012306434393196811,0.0083873740087946173,0.0033651452944789013,-0.0028678187477206704,-8.4838359971661545e-05
beta_E_drgn6,-0.0042044942142638935,0.016611875758563391,0.0070053450575771406,0.011187713262421137,-0.0076569360178624403,-0.026249739029689956,-0.0064541967275133999,0.01511840201093474,-0.5439351324378533,-0.001298228757532236,0.0046718105615750783,-0.0015898548526146182,-0.0037630790841061941,0.03237432932678088,0.55382409671384047,0.42517008006759516,0.49113377409762471,0.56057632972466442,1,0.50610731810283327,0.500632081179891,0.21133709491344985,0.046697078707852092,-0.0054206349715162855,-0.002546408154685396,-0.011080255921025531,0.014005212516310475,0.018769890502451109,0.019882269292027702,-0.0011820234697331087,0.00024772586537757805,0.0039730079938073747,0.0018129200953435627,-0.0027356457341412852,-0.0021061194451177843
beta_E_drgn7,-0.0051036006580379894,0.0064395331551399416,0.0075686628222869333,0.0038041967483746675,-0.013505865797938608,-0.014105909423355522,0.00066801561308152662,0.017474769069229686,-0.50461532647869189,-0.00056628897132457966,0.004264856580588278,0.0019349154371247981,0.0015488437172346192,0.015326326919278772,0.53895269467499596,0.42112341516776719,0.47836581484235341,0.53812967842278436,0.50610731810283327,1,0.48945672364452497,0.18062045669713003,0.00082746701628994598,-0.0024894341474158326,-0.00039483788769295537,0.00051049123037642168,0.0025673934874646388,0.0077299907437832858,0.0047463156645425634,-0.0030384504055898007,0.0032881267018868982,0.0033256649348598439,0.0042624026469201912,-0.0049804854952387864,-0.0014608814936064123
