name,block,status,estimate,bound_value,bound_side,grad_negll,multiplier,se_model,se_robust,ratio_robust_model,z,p
beta_E,opportunity_hours,interior,-2.8973902276042747,NA,NA,2.4158135815355308e-05,NA,0.36619568069957137,0.36151975213292603,0.9872310657577594,-8.014472820668848,1.1061041630240805e-15
beta_h_pt1,opportunity_hours,interior,-1.2768557580581916,NA,NA,-3.7000056550162697e-05,NA,0.1631016647411261,0.1672568965776269,1.0254763300123022,-7.634099305827907,2.274045842936638e-14
beta_h_pt2,opportunity_hours,interior,-0.98052065227112761,NA,NA,-3.465808796931924e-05,NA,0.17865909126167331,0.18622665358796944,1.0423575552346915,-5.26520040702955,1.400365116697595e-07
beta_h_ft,opportunity_hours,interior,0.88715154727383982,NA,NA,4.3004358495579709e-05,NA,0.06727215768748825,0.07506685233913904,1.115868063692277,11.818153014673412,3.145234949702799e-32
beta_h_lh,opportunity_hours,interior,-1.4525802640177317,NA,NA,4.2831479347249513e-05,NA,0.11473207206227151,0.14075456815638301,1.2268110008506397,-10.319951125166087,5.72522939600159e-25
beta_E_gsur,opportunity_market_regional_access,interior,-1.1047680284010777,NA,NA,7.4692751793392631e-05,NA,0.2107346420164426,0.20441791001836224,0.9700251845750757,-5.40445809421415,6.500461827702638e-08
beta_E_drgn2,opportunity_market_regional_access,interior,-0.2050364514233925,NA,NA,3.5160609099804674e-06,NA,0.3112764494000016,0.3114168386980469,1.0004510116274967,-0.6583987310403533,0.5102819505847888
beta_E_drgn3,opportunity_market_regional_access,interior,-0.088527722345106294,NA,NA,-3.6728529106522245e-05,NA,0.3694543201180356,0.3630895896373623,0.9827726186050827,-0.2438178479133038,0.8073718967775736
beta_E_drgn4,opportunity_market_regional_access,interior,-0.68972676872438021,NA,NA,-5.0388722678817999e-06,NA,0.34546577145132884,0.3597888687632991,1.0414602501770227,-1.9170319834940293,0.055233868519864206
beta_E_drgn5,opportunity_market_regional_access,interior,-0.265394937063825,NA,NA,7.9379963219938787e-05,NA,0.3092248205263794,0.3172834241356131,1.0260606622570463,-0.8364601390282211,0.4028960923425391
beta_E_drgn6,opportunity_market_regional_access,interior,-0.52194108038296028,NA,NA,3.2965278158325617e-06,NA,0.32696210288598604,0.3321759766330945,1.0159464161169975,-1.571278831399271,0.11611789602501138
beta_E_drgn7,opportunity_market_regional_access,interior,-0.38771382757503292,NA,NA,-2.7555954655644754e-05,NA,0.3351734679515394,0.336120152049337,1.0028244601327885,-1.1534977156565216,0.2487061546408068
beta_E_drgn8,opportunity_market_regional_access,interior,-0.30874368245956058,NA,NA,3.1156133590393154e-05,NA,0.32308554400696365,0.32877764323388875,1.0176179322551255,-0.9390653191096809,0.3476972089216832
beta_E_y2015,opportunity_market_year,pinned,-0.2546064112385174,NA,NA,0,NA,NA,NA,NA,NA,NA
beta_E_y2017,opportunity_market_year,pinned,-0.069471107376197702,NA,NA,0,NA,NA,NA,NA,NA,NA
beta_E_drgur,opportunity_market_regional_access,interior,-0.010018686507697799,NA,NA,-5.5459482517505876e-06,NA,0.2014636034994229,0.20805761031007192,1.032730511596691,-0.04815342487480643,0.9615939686616156
beta_E_drgmd,opportunity_market_regional_access,interior,0.10867255286061039,NA,NA,-4.1283941580871897e-06,NA,0.23826332630544247,0.24325904958494873,1.0209672355245387,0.44673590991179446,0.6550657507284762
beta_occ_2_m,opportunity_occupation,interior,-1.302884050507318,NA,NA,1.880589638725283e-05,NA,0.1469769533545697,0.15833104521807492,1.0772508315376113,-8.228860288977502,1.8900306279988997e-16
beta_occ_3_m,opportunity_occupation,interior,-1.8859683239157241,NA,NA,-7.971370397763522e-06,NA,0.18930163748792958,0.1989694373072426,1.0510708726432938,-9.47868350757543,2.575112827904982e-21
beta_occ_4_m,opportunity_occupation,interior,0.25347794230828019,NA,NA,-5.742781508599748e-05,NA,0.0897229764825477,0.09492961681474567,1.058030178403753,2.6701671281676003,0.007581350087418664
beta_occ_2_f,opportunity_occupation,interior,-0.075816138110144607,NA,NA,1.0612299919721124e-05,NA,0.11655519844461018,0.12327061646710581,1.0576157744322914,-0.615038200367691,0.5385294930550705
beta_occ_3_f,opportunity_occupation,interior,-0.46120066567816781,NA,NA,4.8237621816937803e-06,NA,0.12898689789615153,0.1345962746597697,1.043487957731446,-3.4265485195930085,0.0006113045381899668
beta_occ_4_f,opportunity_occupation,interior,0.85450203950514481,NA,NA,5.1455730678995337e-05,NA,0.09633550355156208,0.09940431046843853,1.0318554095192323,8.596227220714482,8.237961377772571e-18
beta_w0,wage_density,interior,2.1399516809316084,NA,NA,0.00010907983556762701,NA,0.043042467773863585,0.055830295362339334,1.2970979186337643,38.32957835962168,0.0
beta_w_educL,wage_density,interior,0.028673573754622601,NA,NA,-8.632863846003147e-05,NA,0.03704034685487993,0.04240559277894664,1.1448486955342823,0.676174341061407,0.49892996150812885
beta_w_educH,wage_density,interior,0.34500976733326988,NA,NA,0.00010992597206183063,NA,0.0256599269138367,0.02763206283933543,1.0768566462453675,12.485849114461828,8.918673673604818e-36
beta_w_pexp,wage_density,interior,0.23833718601077769,NA,NA,7.1260607001022436e-05,NA,0.08336475502256505,0.10069558324741684,1.2078915510536883,2.3669080442700725,0.01793738893999282
