,beta_l0_sm,beta_l_age_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_h_pt2,-0.00034144639961207588,-0.00036330409481318433,-9.4890412948469359e-05,-0.0023229025625286942,0.00020327073741378257,-0.00046314115680830942,0.00017599656133462168,0.00015112241089940362,-0.0018506215633149429,0.0017476715555720503,0.031919070890446911,0.001794674976651141,0.001721675725896788,5.052094146673174e-05,0.00020423381615326309,0.00017301795139813462,0.00032911199970437385,-1.0884707966869578e-05,0.00027290265617984906,0.00025538723419408951,0.00016702179611262295,-1.2783044394912333e-05,-0.00012229741815592419,5.8404897615531266e-05,-7.2507012222715369e-05,-1.2908345706746012e-06,-0.00012929846176146931,-9.9995670012500146e-05,-5.5696161304562952e-05,8.2572535576039459e-05,-7.5139723781062658e-05,-5.5422067966330222e-05,-9.2453326640707108e-05,4.9801946603657431e-05,-1.7147787938092258e-05
beta_h_ft,0.00025657066712375144,0.0014512412876331534,0.002280034089995121,-0.010715350309772555,0.0038254591272665825,-0.0031565095968705335,0.0030408095918530915,0.00016649056120709134,-0.0014203691361708932,0.0015982534265529501,0.0017946749766511408,0.0045255431999302832,0.0028382871893525333,3.3860142763847738e-05,-2.8801554478105826e-05,6.4606817470057044e-05,9.848317228700286e-05,-4.1762169152722819e-05,-3.4969566786156308e-05,4.3628168311749137e-05,4.9286553056816796e-05,1.9467701963635773e-05,3.2925469508019445e-05,-7.9893260683275388e-07,-8.3082812265222898e-05,-7.8931617161490729e-05,9.9587863431372997e-05,3.0781518441530356e-05,0.00012718284508451286,-1.5742830558471028e-06,-1.755805617433395e-05,-2.165938639412316e-05,-2.5795256348281836e-06,8.055868228751955e-06,-7.1172821277721583e-06
beta_h_lh,0.042553941383448694,0.0071200908562511845,0.010477834334707595,0.032955120522315418,0.0077422739638184305,-0.006324245498470874,0.0072943268915588106,5.5376083418952064e-05,-0.00032630493906581412,0.00094690348074425964,0.0017216757258967878,0.0028382871893525333,0.013163448359702262,-2.3239922687025358e-05,-4.655839370210571e-05,0.00010517659238968548,0.00012285371531636284,-7.7750073230264659e-05,-0.00014116453451165314,5.9561012018372023e-05,0.00012246774620060632,1.9709066712087169e-05,2.4068841285654859e-05,-0.00024904409609682139,-0.00024968746487135344,-0.00022359638184112524,0.00040740462256210071,0.00040344617832834814,0.00044251360467318339,-3.0098650507641933e-05,-1.4413326916234823e-05,-1.8616705720511925e-05,1.0689588187500423e-05,6.7386155807516794e-06,3.2857651815265256e-07
beta_E_gsur,-0.004507251687605812,0.008218218483628921,0.0014452115222567197,0.00094429898779715385,0.0058657255722968926,-2.4367748764426244e-05,-0.00074780996123385076,0.00013678643441664192,-0.04376051923508753,-4.4282712957405089e-05,5.0520941466731754e-05,3.3860142763847725e-05,-2.3239922687025321e-05,0.044409089345798215,-0.0038289363591976202,-0.022658589564220729,-0.0035995439143330175,0.0020513207164806532,0.0022306638642988854,0.0010825392503261701,-0.013185082473384896,-0.00010634291077510966,-0.00046362562298578254,-0.00030878863346417283,-0.00031198878508305555,-5.5065399542997742e-05,0.00080073351423770882,0.00090388486102525032,0.0011031012946382092,3.5857260666170614e-05,-0.00080538206777321499,0.0001206195916430482,-4.515091638812129e-05,3.4789281161478927e-05,-1.9536129731917625e-06
beta_E_drgn2,-0.0015860629431424566,0.0037162467859155673,0.00056257003110917587,0.0077793357229483263,-0.0036190648837284055,-0.010367255213561893,-0.00046762333037240914,0.00016748863424763519,-0.059973666109240022,6.3721811343858873e-05,0.00020423381615326314,-2.8801554478105836e-05,-4.6558393702105812e-05,-0.0038289363591976185,0.096893027951071756,0.055042269597006241,0.056819036610712234,0.056930258927330585,0.056365781108061931,0.056229800752385706,0.055156007483625862,0.015096467881849301,0.0015586829837052336,-0.00026464095290523005,-0.00013015224968647061,-0.00021522210146575894,0.00027324818610314312,0.00056085782764194012,0.00043374858190045184,-8.8469106838386075e-05,8.5624506861967442e-05,4.4612889973562679e-05,0.00018950306175379207,-0.00010292669445184927,-5.8433757484505313e-06
beta_E_drgn3,0.00085734162827061421,-0.0027777827806221944,-0.00042452980183571413,0.0041542714906858897,-0.0093303142260774113,-0.0089273931469452915,0.00057780155092310181,0.00011189343261481795,-0.031269372598903326,-2.9470450199322114e-05,0.00017301795139813465,6.4606817470057057e-05,0.00010517659238968541,-0.022658589564220736,0.055042269597006262,0.13649649465387992,0.054423704211389076,0.051105768134475968,0.051359508863507361,0.052148253948554928,0.058242125469472154,0.004425601097081888,-0.0034512678505213379,0.00022632210473946956,0.00023086008239727755,-1.4138528069030136e-06,-0.00042204915789431614,-0.00024592867733275441,-0.00038258764690082749,-5.3791066965124357e-05,0.00044751684219132445,-2.377193934443626e-05,8.0799067664206185e-05,-4.1914006962809492e-05,3.6729244074915389e-06
beta_E_drgn4,0.00074772795314703049,-0.0011353259890105835,-0.00044776861154400231,0.003905538096638521,-0.0028055517580527463,-0.0066918440007115564,0.00025682888823827884,0.00033297944312824093,-0.058865862858380337,-0.00012764144045369338,0.00032911199970437379,9.8483172287002873e-05,0.00012285371531636278,-0.0035995439143330248,0.05681903661071222,0.054423704211389083,0.11934659924446177,0.056152716163205212,0.055475629966647344,0.0553904372551038,0.054580769718965874,0.013808120417809103,0.002746482813888289,0.00017992371647578847,0.00016386675318455797,0.00018053698064803047,-0.0003483544047157474,-0.00015437040323691746,-0.00027792860903549742,-6.2519916245430861e-05,9.3391096657549546e-05,8.5621181414697028e-06,9.9196822612181379e-05,-3.4929240895839345e-05,-1.721951780756873e-05
beta_E_drgn5,-0.001768215385992004,0.0020142942677187406,0.00068746986959631294,0.0094244855546168158,-0.0082866699557017122,-0.011018396055247723,-0.0006525007457253185,0.00015420349677069706,-0.069511340230163532,-1.7430349278357702e-05,-1.0884707966869598e-05,-4.1762169152722805e-05,-7.7750073230264686e-05,0.0020513207164806488,0.056930258927330578,0.051105768134475975,0.056152716163205212,0.095619989629571564,0.056676956347107871,0.055773888428891992,0.053450417245512756,0.01821865005764018,0.011299807252756762,-0.00046459677271359055,-0.00030199853782275133,-0.00027511569453212537,0.00058778247035174065,0.00079473788780052331,0.00070267111939094557,-7.6010897845861703e-05,-1.4095537190185777e-05,6.6551181595696061e-05,8.6748234461577855e-05,-3.4621133473939129e-05,-2.1964166908719317e-07
beta_E_drgn6,-0.002450362249786626,0.0061413500409355278,0.00080527535744399784,0.0094010078731890448,-0.0032671537128081602,-0.013639139136839749,-0.00057827241973611642,0.0002272003966017623,-0.06512650101706223,-6.9232025343933526e-05,0.00027290265617984901,-3.4969566786156315e-05,-0.00014116453451165317,0.0022306638642988737,0.056365781108061924,0.051359508863507382,0.055475629966647351,0.056676956347107871,0.10690421672362611,0.055463805973913184,0.052885135428520476,0.013920978055763497,0.003637846174730053,-0.00026049345821937134,-0.00015760856142423479,-0.00032505053249514359,0.00053372650347662789,0.00079159812200812324,0.00062625288771090337,-1.6634918623669314e-05,3.000155858664421e-06,3.3332836482310784e-05,4.941497262821088e-05,-3.491986130945433e-05,-5.7653880083464039e-06
beta_E_drgn7,-0.0030490562307553893,0.0024404604619409601,0.00089187964147688565,0.0032769383762388678,-0.0059075743277781922,-0.0075133786345513709,6.135487967428793e-05,0.00026920731465441406,-0.061936019033056934,-3.0957517736287275e-05,0.00025538723419408956,4.3628168311749117e-05,5.9561012018371935e-05,0.0010825392503261693,0.056229800752385706,0.052148253948554921,0.0553904372551038,0.055773888428891999,0.055463805973913191,0.1123412536186616,0.053003122857850721,0.012196442333638355,6.6081139724177479e-05,-0.00012263643469172863,-2.5052024253323447e-05,1.5351880856916626e-05,0.00010029833331482414,0.00033419058074162292,0.00015325428396436718,-4.3834791783463563e-05,4.0821900679678654e-05,2.8602470037896441e-05,0.0001190985801643322,-6.517132477107191e-05,-4.0995175042783133e-06
