sheet,variable,label,description,monetary_variable,applicable_observations,weighted_number,weighted_mean,weighted_sd,min,max
expenditure shares,xs11211,EXPENDITURE SHARE: Accommodation services,11211 : 11 Restaurants and hotels - 2 Accommodation services - 1 Accommodation services - 1 Accommodation services,0,7482,63155144.39457703,0.014546140444049003,0.03922818250414989,0,0.48984479904174805
expenditure shares,xs12111,EXPENDITURE SHARE: Hairdressing salons and personal grooming establishments,12111 : 12 Miscellaneous goods and services - 1 Personal care - 1 Hairdressing salons and personal grooming establishments - 1 Hairdressing salons and personal grooming establishments,0,7482,63155144.39457703,0.007600284299400266,0.009852741255311579,0,0.12494019418954849
expenditure shares,xs12121,EXPENDITURE SHARE: Electrical appliances for personal care,12121 : 12 Miscellaneous goods and services - 1 Personal care - 2 Electrical appliances for personal care - 1 Electrical appliances for personal care,0,7482,63155144.39457703,3.759024044994692e-05,0.00032234490103302615,0,0.0047659724950790405
expenditure shares,xs12131,"EXPENDITURE SHARE: Other appliance, articles and products for personal care","12131 : 12 Miscellaneous goods and services - 1 Personal care - 3 Other appliances, articles and products for personal care - 1 Other appliance, articles and products for personal care",0,7482,63155144.39457703,0.008198205957499708,0.01638836316783932,0,0.32504165172576904
expenditure shares,xs12311,"EXPENDITURE SHARE: Jewellery, clocks and watches","12311 : 12 Miscellaneous goods and services - 3 Personal effects n.e.c. - 1 Jewellery, clocks and watches - 1 Jewellery, clocks and watches",0,7482,63155144.39457703,0.002545830300852384,0.016371613070463926,0,0.26913556456565857
expenditure shares,xs12321,EXPENDITURE SHARE: Travel goods and other carriers,12321 : 12 Miscellaneous goods and services - 3 Personal effects n.e.c. - 2 Other personal effects - 1 Travel goods and other carriers,0,7482,63155144.39457703,0.0016516722014674595,0.0055882226222006655,0,0.10809826850891113
expenditure shares,xs12322,EXPENDITURE SHARE: Other personal effects,12322 : 12 Miscellaneous goods and services - 3 Personal effects n.e.c. - 2 Other personal effects - 2 Other personal effects,0,7482,63155144.39457703,0,0,0,0
expenditure shares,xs12411,EXPENDITURE SHARE: Social protection services,12411 : 12 Miscellaneous goods and services - 4 Social protection - 1 Social protection services - 1 Social protection services,0,7482,63155144.39457703,0,0,0,0
expenditure shares,xs12412,"EXPENDITURE SHARE: Crèches, nurseries","12412 : 12 Miscellaneous goods and services - 4 Social protection - 1 Social protection services - 2 Crèches, nurseries",0,7482,63155144.39457703,0,0,0,0
expenditure shares,xs12521,EXPENDITURE SHARE: Insurance connected with the dwelling,12521 : 12 Miscellaneous goods and services - 5 Insurance - 2 Insurance connected with the dwelling - 1 Insurance connected with the dwelling,0,7482,63155144.39457703,0.007043438653079774,0.006959055269794768,0,0.059975262731313705
