year,region_code,region_name,gsur,education,sex,age_group,sheet
2022,FRH0,Bretagne,13.1,TOTAL,T,Y15-29,Sheet 2
2023,FRH0,Bretagne,11.2,TOTAL,T,Y15-29,Sheet 2
2024,FRH0,Bretagne,12.9,TOTAL,T,Y15-29,Sheet 2
2007,FRI,Nouvelle-Aquitaine,13.1,TOTAL,T,Y15-29,Sheet 2
2008,FRI,Nouvelle-Aquitaine,13.5,TOTAL,T,Y15-29,Sheet 2
2009,FRI,Nouvelle-Aquitaine,15.9,TOTAL,T,Y15-29,Sheet 2
2010,FRI,Nouvelle-Aquitaine,16.0,TOTAL,T,Y15-29,Sheet 2
2011,FRI,Nouvelle-Aquitaine,17.1,TOTAL,T,Y15-29,Sheet 2
2012,FRI,Nouvelle-Aquitaine,17.9,TOTAL,T,Y15-29,Sheet 2
2013,FRI,Nouvelle-Aquitaine,17.9,TOTAL,T,Y15-29,Sheet 2
2014,FRI,Nouvelle-Aquitaine,19.6,TOTAL,T,Y15-29,Sheet 2
2015,FRI,Nouvelle-Aquitaine,17.3,TOTAL,T,Y15-29,Sheet 2
2016,FRI,Nouvelle-Aquitaine,17.1,TOTAL,T,Y15-29,Sheet 2
2017,FRI,Nouvelle-Aquitaine,18.9,TOTAL,T,Y15-29,Sheet 2
2018,FRI,Nouvelle-Aquitaine,16.2,TOTAL,T,Y15-29,Sheet 2
2019,FRI,Nouvelle-Aquitaine,15.8,TOTAL,T,Y15-29,Sheet 2
2020,FRI,Nouvelle-Aquitaine,16.6,TOTAL,T,Y15-29,Sheet 2
2021,FRI,Nouvelle-Aquitaine,14.0,TOTAL,T,Y15-29,Sheet 2
2022,FRI,Nouvelle-Aquitaine,13.7,TOTAL,T,Y15-29,Sheet 2
2023,FRI,Nouvelle-Aquitaine,13.5,TOTAL,T,Y15-29,Sheet 2
2024,FRI,Nouvelle-Aquitaine,12.1,TOTAL,T,Y15-29,Sheet 2
2007,FRI1,Aquitaine,13.6,TOTAL,T,Y15-29,Sheet 2
2008,FRI1,Aquitaine,14.3,TOTAL,T,Y15-29,Sheet 2
2009,FRI1,Aquitaine,15.8,TOTAL,T,Y15-29,Sheet 2
2010,FRI1,Aquitaine,17.6,TOTAL,T,Y15-29,Sheet 2
2011,FRI1,Aquitaine,18.6,TOTAL,T,Y15-29,Sheet 2
2012,FRI1,Aquitaine,19.7,TOTAL,T,Y15-29,Sheet 2
2013,FRI1,Aquitaine,18.5,TOTAL,T,Y15-29,Sheet 2
2014,FRI1,Aquitaine,18.1,TOTAL,T,Y15-29,Sheet 2
2015,FRI1,Aquitaine,17.4,TOTAL,T,Y15-29,Sheet 2
2016,FRI1,Aquitaine,18.2,TOTAL,T,Y15-29,Sheet 2
2017,FRI1,Aquitaine,20.7,TOTAL,T,Y15-29,Sheet 2
2018,FRI1,Aquitaine,17.5,TOTAL,T,Y15-29,Sheet 2
2019,FRI1,Aquitaine,16.6,TOTAL,T,Y15-29,Sheet 2
2020,FRI1,Aquitaine,15.7,TOTAL,T,Y15-29,Sheet 2
2021,FRI1,Aquitaine,12.1,TOTAL,T,Y15-29,Sheet 2
2022,FRI1,Aquitaine,13.5,TOTAL,T,Y15-29,Sheet 2
2023,FRI1,Aquitaine,12.9,TOTAL,T,Y15-29,Sheet 2
2024,FRI1,Aquitaine,11.9,TOTAL,T,Y15-29,Sheet 2
2007,FRI2,Limousin,12.5,TOTAL,T,Y15-29,Sheet 2
2008,FRI2,Limousin,,TOTAL,T,Y15-29,Sheet 2
2009,FRI2,Limousin,12.6,TOTAL,T,Y15-29,Sheet 2
2010,FRI2,Limousin,14.2,TOTAL,T,Y15-29,Sheet 2
2011,FRI2,Limousin,15.4,TOTAL,T,Y15-29,Sheet 2
2012,FRI2,Limousin,11.7,TOTAL,T,Y15-29,Sheet 2
2013,FRI2,Limousin,12.0,TOTAL,T,Y15-29,Sheet 2
2014,FRI2,Limousin,20.2,TOTAL,T,Y15-29,Sheet 2
2015,FRI2,Limousin,18.4,TOTAL,T,Y15-29,Sheet 2
2016,FRI2,Limousin,14.0,TOTAL,T,Y15-29,Sheet 2
2017,FRI2,Limousin,12.4,TOTAL,T,Y15-29,Sheet 2
2018,FRI2,Limousin,12.0,TOTAL,T,Y15-29,Sheet 2
2019,FRI2,Limousin,14.3,TOTAL,T,Y15-29,Sheet 2
2020,FRI2,Limousin,14.3,TOTAL,T,Y15-29,Sheet 2
2021,FRI2,Limousin,11.4,TOTAL,T,Y15-29,Sheet 2
2022,FRI2,Limousin,12.0,TOTAL,T,Y15-29,Sheet 2
2023,FRI2,Limousin,10.8,TOTAL,T,Y15-29,Sheet 2
2024,FRI2,Limousin,10.8,TOTAL,T,Y15-29,Sheet 2
2007,FRI3,Poitou-Charentes,12.4,TOTAL,T,Y15-29,Sheet 2
2008,FRI3,Poitou-Charentes,14.4,TOTAL,T,Y15-29,Sheet 2
2009,FRI3,Poitou-Charentes,17.4,TOTAL,T,Y15-29,Sheet 2
2010,FRI3,Poitou-Charentes,14.2,TOTAL,T,Y15-29,Sheet 2
2011,FRI3,Poitou-Charentes,15.5,TOTAL,T,Y15-29,Sheet 2
2012,FRI3,Poitou-Charentes,17.1,TOTAL,T,Y15-29,Sheet 2
2013,FRI3,Poitou-Charentes,18.9,TOTAL,T,Y15-29,Sheet 2
2014,FRI3,Poitou-Charentes,21.8,TOTAL,T,Y15-29,Sheet 2
2015,FRI3,Poitou-Charentes,16.6,TOTAL,T,Y15-29,Sheet 2
2016,FRI3,Poitou-Charentes,16.3,TOTAL,T,Y15-29,Sheet 2
2017,FRI3,Poitou-Charentes,17.9,TOTAL,T,Y15-29,Sheet 2
2018,FRI3,Poitou-Charentes,15.7,TOTAL,T,Y15-29,Sheet 2
2019,FRI3,Poitou-Charentes,14.8,TOTAL,T,Y15-29,Sheet 2
2020,FRI3,Poitou-Charentes,18.9,TOTAL,T,Y15-29,Sheet 2
2021,FRI3,Poitou-Charentes,19.5,TOTAL,T,Y15-29,Sheet 2
2022,FRI3,Poitou-Charentes,15.1,TOTAL,T,Y15-29,Sheet 2
2023,FRI3,Poitou-Charentes,15.8,TOTAL,T,Y15-29,Sheet 2
2024,FRI3,Poitou-Charentes,13.1,TOTAL,T,Y15-29,Sheet 2
2007,FRJ,Occitanie,16.8,TOTAL,T,Y15-29,Sheet 2
2008,FRJ,Occitanie,13.4,TOTAL,T,Y15-29,Sheet 2
2009,FRJ,Occitanie,18.2,TOTAL,T,Y15-29,Sheet 2
2010,FRJ,Occitanie,19.7,TOTAL,T,Y15-29,Sheet 2
2011,FRJ,Occitanie,19.7,TOTAL,T,Y15-29,Sheet 2
2012,FRJ,Occitanie,21.4,TOTAL,T,Y15-29,Sheet 2
2013,FRJ,Occitanie,19.4,TOTAL,T,Y15-29,Sheet 2
2014,FRJ,Occitanie,21.3,TOTAL,T,Y15-29,Sheet 2
2015,FRJ,Occitanie,19.9,TOTAL,T,Y15-29,Sheet 2
2016,FRJ,Occitanie,19.4,TOTAL,T,Y15-29,Sheet 2
2017,FRJ,Occitanie,15.9,TOTAL,T,Y15-29,Sheet 2
2018,FRJ,Occitanie,15.7,TOTAL,T,Y15-29,Sheet 2
2019,FRJ,Occitanie,15.6,TOTAL,T,Y15-29,Sheet 2
2020,FRJ,Occitanie,14.9,TOTAL,T,Y15-29,Sheet 2
2021,FRJ,Occitanie,16.5,TOTAL,T,Y15-29,Sheet 2
2022,FRJ,Occitanie,13.4,TOTAL,T,Y15-29,Sheet 2
2023,FRJ,Occitanie,13.4,TOTAL,T,Y15-29,Sheet 2
2024,FRJ,Occitanie,15.8,TOTAL,T,Y15-29,Sheet 2
2007,FRJ1,Languedoc-Roussillon,18.1,TOTAL,T,Y15-29,Sheet 2
2008,FRJ1,Languedoc-Roussillon,17.8,TOTAL,T,Y15-29,Sheet 2
2009,FRJ1,Languedoc-Roussillon,24.9,TOTAL,T,Y15-29,Sheet 2
2010,FRJ1,Languedoc-Roussillon,26.1,TOTAL,T,Y15-29,Sheet 2
2011,FRJ1,Languedoc-Roussillon,24.5,TOTAL,T,Y15-29,Sheet 2
2012,FRJ1,Languedoc-Roussillon,29.1,TOTAL,T,Y15-29,Sheet 2
2013,FRJ1,Languedoc-Roussillon,26.2,TOTAL,T,Y15-29,Sheet 2
2014,FRJ1,Languedoc-Roussillon,24.9,TOTAL,T,Y15-29,Sheet 2
2015,FRJ1,Languedoc-Roussillon,26.2,TOTAL,T,Y15-29,Sheet 2
2016,FRJ1,Languedoc-Roussillon,24.4,TOTAL,T,Y15-29,Sheet 2
2017,FRJ1,Languedoc-Roussillon,21.3,TOTAL,T,Y15-29,Sheet 2
2018,FRJ1,Languedoc-Roussillon,21.2,TOTAL,T,Y15-29,Sheet 2
2019,FRJ1,Languedoc-Roussillon,20.1,TOTAL,T,Y15-29,Sheet 2
2020,FRJ1,Languedoc-Roussillon,22.8,TOTAL,T,Y15-29,Sheet 2
2021,FRJ1,Languedoc-Roussillon,22.5,TOTAL,T,Y15-29,Sheet 2
2022,FRJ1,Languedoc-Roussillon,17.0,TOTAL,T,Y15-29,Sheet 2
2023,FRJ1,Languedoc-Roussillon,15.0,TOTAL,T,Y15-29,Sheet 2
2024,FRJ1,Languedoc-Roussillon,19.7,TOTAL,T,Y15-29,Sheet 2
2007,FRJ2,Midi-Pyrénées,15.8,TOTAL,T,Y15-29,Sheet 2
2008,FRJ2,Midi-Pyrénées,10.0,TOTAL,T,Y15-29,Sheet 2
2009,FRJ2,Midi-Pyrénées,13.4,TOTAL,T,Y15-29,Sheet 2
2010,FRJ2,Midi-Pyrénées,14.5,TOTAL,T,Y15-29,Sheet 2
2011,FRJ2,Midi-Pyrénées,15.9,TOTAL,T,Y15-29,Sheet 2
2012,FRJ2,Midi-Pyrénées,14.8,TOTAL,T,Y15-29,Sheet 2
2013,FRJ2,Midi-Pyrénées,14.8,TOTAL,T,Y15-29,Sheet 2
2014,FRJ2,Midi-Pyrénées,18.8,TOTAL,T,Y15-29,Sheet 2
2015,FRJ2,Midi-Pyrénées,14.7,TOTAL,T,Y15-29,Sheet 2
2016,FRJ2,Midi-Pyrénées,15.5,TOTAL,T,Y15-29,Sheet 2
2017,FRJ2,Midi-Pyrénées,12.1,TOTAL,T,Y15-29,Sheet 2
2018,FRJ2,Midi-Pyrénées,12.3,TOTAL,T,Y15-29,Sheet 2
2019,FRJ2,Midi-Pyrénées,12.9,TOTAL,T,Y15-29,Sheet 2
2020,FRJ2,Midi-Pyrénées,10.7,TOTAL,T,Y15-29,Sheet 2
2021,FRJ2,Midi-Pyrénées,11.9,TOTAL,T,Y15-29,Sheet 2
2022,FRJ2,Midi-Pyrénées,10.5,TOTAL,T,Y15-29,Sheet 2
2023,FRJ2,Midi-Pyrénées,12.1,TOTAL,T,Y15-29,Sheet 2
2024,FRJ2,Midi-Pyrénées,12.8,TOTAL,T,Y15-29,Sheet 2
2007,FRK,Auvergne-Rhône-Alpes,12.2,TOTAL,T,Y15-29,Sheet 2
2008,FRK,Auvergne-Rhône-Alpes,10.7,TOTAL,T,Y15-29,Sheet 2
2009,FRK,Auvergne-Rhône-Alpes,15.9,TOTAL,T,Y15-29,Sheet 2
2010,FRK,Auvergne-Rhône-Alpes,14.8,TOTAL,T,Y15-29,Sheet 2
2011,FRK,Auvergne-Rhône-Alpes,15.6,TOTAL,T,Y15-29,Sheet 2
2012,FRK,Auvergne-Rhône-Alpes,15.5,TOTAL,T,Y15-29,Sheet 2
2013,FRK,Auvergne-Rhône-Alpes,15.3,TOTAL,T,Y15-29,Sheet 2
2014,FRK,Auvergne-Rhône-Alpes,15.9,TOTAL,T,Y15-29,Sheet 2
2015,FRK,Auvergne-Rhône-Alpes,15.8,TOTAL,T,Y15-29,Sheet 2
2016,FRK,Auvergne-Rhône-Alpes,14.8,TOTAL,T,Y15-29,Sheet 2
2017,FRK,Auvergne-Rhône-Alpes,12.3,TOTAL,T,Y15-29,Sheet 2
2018,FRK,Auvergne-Rhône-Alpes,13.4,TOTAL,T,Y15-29,Sheet 2
2019,FRK,Auvergne-Rhône-Alpes,12.5,TOTAL,T,Y15-29,Sheet 2
2020,FRK,Auvergne-Rhône-Alpes,13.6,TOTAL,T,Y15-29,Sheet 2
2021,FRK,Auvergne-Rhône-Alpes,12.7,TOTAL,T,Y15-29,Sheet 2
2022,FRK,Auvergne-Rhône-Alpes,12.4,TOTAL,T,Y15-29,Sheet 2
2023,FRK,Auvergne-Rhône-Alpes,12.6,TOTAL,T,Y15-29,Sheet 2
2024,FRK,Auvergne-Rhône-Alpes,13.5,TOTAL,T,Y15-29,Sheet 2
2007,FRK1,Auvergne,15.3,TOTAL,T,Y15-29,Sheet 2
2008,FRK1,Auvergne,11.0,TOTAL,T,Y15-29,Sheet 2
2009,FRK1,Auvergne,13.5,TOTAL,T,Y15-29,Sheet 2
2010,FRK1,Auvergne,13.6,TOTAL,T,Y15-29,Sheet 2
2011,FRK1,Auvergne,17.9,TOTAL,T,Y15-29,Sheet 2
2012,FRK1,Auvergne,21.3,TOTAL,T,Y15-29,Sheet 2
2013,FRK1,Auvergne,16.1,TOTAL,T,Y15-29,Sheet 2
2014,FRK1,Auvergne,15.1,TOTAL,T,Y15-29,Sheet 2
2015,FRK1,Auvergne,17.0,TOTAL,T,Y15-29,Sheet 2
2016,FRK1,Auvergne,12.1,TOTAL,T,Y15-29,Sheet 2
2017,FRK1,Auvergne,11.0,TOTAL,T,Y15-29,Sheet 2
2018,FRK1,Auvergne,12.3,TOTAL,T,Y15-29,Sheet 2
2019,FRK1,Auvergne,9.2,TOTAL,T,Y15-29,Sheet 2
2020,FRK1,Auvergne,10.5,TOTAL,T,Y15-29,Sheet 2
2021,FRK1,Auvergne,15.9,TOTAL,T,Y15-29,Sheet 2
2022,FRK1,Auvergne,14.8,TOTAL,T,Y15-29,Sheet 2
2023,FRK1,Auvergne,15.1,TOTAL,T,Y15-29,Sheet 2
2024,FRK1,Auvergne,13.7,TOTAL,T,Y15-29,Sheet 2
2007,FRK2,Rhône-Alpes,11.6,TOTAL,T,Y15-29,Sheet 2
2008,FRK2,Rhône-Alpes,10.7,TOTAL,T,Y15-29,Sheet 2
2009,FRK2,Rhône-Alpes,16.4,TOTAL,T,Y15-29,Sheet 2
2010,FRK2,Rhône-Alpes,15.1,TOTAL,T,Y15-29,Sheet 2
2011,FRK2,Rhône-Alpes,15.2,TOTAL,T,Y15-29,Sheet 2
2012,FRK2,Rhône-Alpes,14.4,TOTAL,T,Y15-29,Sheet 2
2013,FRK2,Rhône-Alpes,15.1,TOTAL,T,Y15-29,Sheet 2
2014,FRK2,Rhône-Alpes,16.1,TOTAL,T,Y15-29,Sheet 2
2015,FRK2,Rhône-Alpes,15.6,TOTAL,T,Y15-29,Sheet 2
2016,FRK2,Rhône-Alpes,15.3,TOTAL,T,Y15-29,Sheet 2
2017,FRK2,Rhône-Alpes,12.6,TOTAL,T,Y15-29,Sheet 2
2018,FRK2,Rhône-Alpes,13.6,TOTAL,T,Y15-29,Sheet 2
2019,FRK2,Rhône-Alpes,13.0,TOTAL,T,Y15-29,Sheet 2
2020,FRK2,Rhône-Alpes,14.2,TOTAL,T,Y15-29,Sheet 2
2021,FRK2,Rhône-Alpes,12.1,TOTAL,T,Y15-29,Sheet 2
2022,FRK2,Rhône-Alpes,12.0,TOTAL,T,Y15-29,Sheet 2
2023,FRK2,Rhône-Alpes,12.2,TOTAL,T,Y15-29,Sheet 2
2024,FRK2,Rhône-Alpes,13.4,TOTAL,T,Y15-29,Sheet 2
2007,FRL,Provence-Alpes-Côte d’Azur,16.7,TOTAL,T,Y15-29,Sheet 2
2008,FRL,Provence-Alpes-Côte d’Azur,15.9,TOTAL,T,Y15-29,Sheet 2
2009,FRL,Provence-Alpes-Côte d’Azur,18.1,TOTAL,T,Y15-29,Sheet 2
2010,FRL,Provence-Alpes-Côte d’Azur,18.1,TOTAL,T,Y15-29,Sheet 2
2011,FRL,Provence-Alpes-Côte d’Azur,19.7,TOTAL,T,Y15-29,Sheet 2
2012,FRL,Provence-Alpes-Côte d’Azur,17.6,TOTAL,T,Y15-29,Sheet 2
2013,FRL,Provence-Alpes-Côte d’Azur,20.7,TOTAL,T,Y15-29,Sheet 2
2014,FRL,Provence-Alpes-Côte d’Azur,19.5,TOTAL,T,Y15-29,Sheet 2
2015,FRL,Provence-Alpes-Côte d’Azur,19.8,TOTAL,T,Y15-29,Sheet 2
2016,FRL,Provence-Alpes-Côte d’Azur,19.0,TOTAL,T,Y15-29,Sheet 2
2017,FRL,Provence-Alpes-Côte d’Azur,18.3,TOTAL,T,Y15-29,Sheet 2
2018,FRL,Provence-Alpes-Côte d’Azur,17.8,TOTAL,T,Y15-29,Sheet 2
2019,FRL,Provence-Alpes-Côte d’Azur,17.4,TOTAL,T,Y15-29,Sheet 2
2020,FRL,Provence-Alpes-Côte d’Azur,15.9,TOTAL,T,Y15-29,Sheet 2
2021,FRL,Provence-Alpes-Côte d’Azur,14.7,TOTAL,T,Y15-29,Sheet 2
2022,FRL,Provence-Alpes-Côte d’Azur,14.8,TOTAL,T,Y15-29,Sheet 2
2023,FRL,Provence-Alpes-Côte d’Azur,16.1,TOTAL,T,Y15-29,Sheet 2
2024,FRL,Provence-Alpes-Côte d’Azur,12.3,TOTAL,T,Y15-29,Sheet 2
2007,FRL0,Provence-Alpes-Côte d’Azur,16.7,TOTAL,T,Y15-29,Sheet 2
2008,FRL0,Provence-Alpes-Côte d’Azur,15.9,TOTAL,T,Y15-29,Sheet 2
2009,FRL0,Provence-Alpes-Côte d’Azur,18.1,TOTAL,T,Y15-29,Sheet 2
2010,FRL0,Provence-Alpes-Côte d’Azur,18.1,TOTAL,T,Y15-29,Sheet 2
2011,FRL0,Provence-Alpes-Côte d’Azur,19.7,TOTAL,T,Y15-29,Sheet 2
2012,FRL0,Provence-Alpes-Côte d’Azur,17.6,TOTAL,T,Y15-29,Sheet 2
2013,FRL0,Provence-Alpes-Côte d’Azur,20.7,TOTAL,T,Y15-29,Sheet 2
2014,FRL0,Provence-Alpes-Côte d’Azur,19.5,TOTAL,T,Y15-29,Sheet 2
2015,FRL0,Provence-Alpes-Côte d’Azur,19.8,TOTAL,T,Y15-29,Sheet 2
2016,FRL0,Provence-Alpes-Côte d’Azur,19.0,TOTAL,T,Y15-29,Sheet 2
2017,FRL0,Provence-Alpes-Côte d’Azur,18.3,TOTAL,T,Y15-29,Sheet 2
2018,FRL0,Provence-Alpes-Côte d’Azur,17.8,TOTAL,T,Y15-29,Sheet 2
2019,FRL0,Provence-Alpes-Côte d’Azur,17.4,TOTAL,T,Y15-29,Sheet 2
2020,FRL0,Provence-Alpes-Côte d’Azur,15.9,TOTAL,T,Y15-29,Sheet 2
2021,FRL0,Provence-Alpes-Côte d’Azur,14.7,TOTAL,T,Y15-29,Sheet 2
2022,FRL0,Provence-Alpes-Côte d’Azur,14.8,TOTAL,T,Y15-29,Sheet 2
2023,FRL0,Provence-Alpes-Côte d’Azur,16.1,TOTAL,T,Y15-29,Sheet 2
2024,FRL0,Provence-Alpes-Côte d’Azur,12.3,TOTAL,T,Y15-29,Sheet 2
2007,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2008,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2009,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2010,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2011,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2012,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2013,FRM,Corse,24.0,TOTAL,T,Y15-29,Sheet 2
2014,FRM,Corse,18.9,TOTAL,T,Y15-29,Sheet 2
2015,FRM,Corse,30.9,TOTAL,T,Y15-29,Sheet 2
2016,FRM,Corse,12.4,TOTAL,T,Y15-29,Sheet 2
2017,FRM,Corse,14.0,TOTAL,T,Y15-29,Sheet 2
2018,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2019,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2020,FRM,Corse,34.2,TOTAL,T,Y15-29,Sheet 2
2021,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2022,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2023,FRM,Corse,,TOTAL,T,Y15-29,Sheet 2
2024,FRM,Corse,31.2,TOTAL,T,Y15-29,Sheet 2
2007,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2008,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2009,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2010,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2011,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2012,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2013,FRM0,Corse,24.0,TOTAL,T,Y15-29,Sheet 2
2014,FRM0,Corse,18.9,TOTAL,T,Y15-29,Sheet 2
2015,FRM0,Corse,30.9,TOTAL,T,Y15-29,Sheet 2
2016,FRM0,Corse,12.4,TOTAL,T,Y15-29,Sheet 2
2017,FRM0,Corse,14.0,TOTAL,T,Y15-29,Sheet 2
2018,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2019,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2020,FRM0,Corse,34.2,TOTAL,T,Y15-29,Sheet 2
2021,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2022,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2023,FRM0,Corse,,TOTAL,T,Y15-29,Sheet 2
2024,FRM0,Corse,31.2,TOTAL,T,Y15-29,Sheet 2
2007,FRY,RUP FR — Régions Ultrapériphériques Françaises,36.5,TOTAL,T,Y15-29,Sheet 2
2008,FRY,RUP FR — Régions Ultrapériphériques Françaises,37.4,TOTAL,T,Y15-29,Sheet 2
2009,FRY,RUP FR — Régions Ultrapériphériques Françaises,41.1,TOTAL,T,Y15-29,Sheet 2
2010,FRY,RUP FR — Régions Ultrapériphériques Françaises,43.5,TOTAL,T,Y15-29,Sheet 2
2011,FRY,RUP FR — Régions Ultrapériphériques Françaises,45.0,TOTAL,T,Y15-29,Sheet 2
2012,FRY,RUP FR — Régions Ultrapériphériques Françaises,44.7,TOTAL,T,Y15-29,Sheet 2
2013,FRY,RUP FR — Régions Ultrapériphériques Françaises,45.6,TOTAL,T,Y15-29,Sheet 2
2014,FRY,RUP FR — Régions Ultrapériphériques Françaises,41.5,TOTAL,T,Y15-29,Sheet 2
2015,FRY,RUP FR — Régions Ultrapériphériques Françaises,40.8,TOTAL,T,Y15-29,Sheet 2
2016,FRY,RUP FR — Régions Ultrapériphériques Françaises,38.4,TOTAL,T,Y15-29,Sheet 2
2017,FRY,RUP FR — Régions Ultrapériphériques Françaises,40.0,TOTAL,T,Y15-29,Sheet 2
2018,FRY,RUP FR — Régions Ultrapériphériques Françaises,41.8,TOTAL,T,Y15-29,Sheet 2
2019,FRY,RUP FR — Régions Ultrapériphériques Françaises,37.7,TOTAL,T,Y15-29,Sheet 2
2020,FRY,RUP FR — Régions Ultrapériphériques Françaises,34.4,TOTAL,T,Y15-29,Sheet 2
2021,FRY,RUP FR — Régions Ultrapériphériques Françaises,33.1,TOTAL,T,Y15-29,Sheet 2
2022,FRY,RUP FR — Régions Ultrapériphériques Françaises,31.2,TOTAL,T,Y15-29,Sheet 2
2023,FRY,RUP FR — Régions Ultrapériphériques Françaises,29.9,TOTAL,T,Y15-29,Sheet 2
2024,FRY,RUP FR — Régions Ultrapériphériques Françaises,28.6,TOTAL,T,Y15-29,Sheet 2
2007,FRY1,Guadeloupe,38.6,TOTAL,T,Y15-29,Sheet 2
2008,FRY1,Guadeloupe,37.5,TOTAL,T,Y15-29,Sheet 2
2009,FRY1,Guadeloupe,44.9,TOTAL,T,Y15-29,Sheet 2
2010,FRY1,Guadeloupe,42.8,TOTAL,T,Y15-29,Sheet 2
2011,FRY1,Guadeloupe,42.4,TOTAL,T,Y15-29,Sheet 2
2012,FRY1,Guadeloupe,44.8,TOTAL,T,Y15-29,Sheet 2
2013,FRY1,Guadeloupe,49.3,TOTAL,T,Y15-29,Sheet 2
2014,FRY1,Guadeloupe,46.8,TOTAL,T,Y15-29,Sheet 2
2015,FRY1,Guadeloupe,44.8,TOTAL,T,Y15-29,Sheet 2
2016,FRY1,Guadeloupe,40.4,TOTAL,T,Y15-29,Sheet 2
2017,FRY1,Guadeloupe,43.6,TOTAL,T,Y15-29,Sheet 2
2018,FRY1,Guadeloupe,46.0,TOTAL,T,Y15-29,Sheet 2
2019,FRY1,Guadeloupe,41.1,TOTAL,T,Y15-29,Sheet 2
2020,FRY1,Guadeloupe,34.7,TOTAL,T,Y15-29,Sheet 2
2021,FRY1,Guadeloupe,35.3,TOTAL,T,Y15-29,Sheet 2
2022,FRY1,Guadeloupe,33.9,TOTAL,T,Y15-29,Sheet 2
2023,FRY1,Guadeloupe,30.7,TOTAL,T,Y15-29,Sheet 2
2024,FRY1,Guadeloupe,27.7,TOTAL,T,Y15-29,Sheet 2
2007,FRY2,Martinique,37.0,TOTAL,T,Y15-29,Sheet 2
2008,FRY2,Martinique,38.4,TOTAL,T,Y15-29,Sheet 2
2009,FRY2,Martinique,44.4,TOTAL,T,Y15-29,Sheet 2
2010,FRY2,Martinique,46.4,TOTAL,T,Y15-29,Sheet 2
2011,FRY2,Martinique,46.4,TOTAL,T,Y15-29,Sheet 2
2012,FRY2,Martinique,45.9,TOTAL,T,Y15-29,Sheet 2
2013,FRY2,Martinique,49.9,TOTAL,T,Y15-29,Sheet 2
2014,FRY2,Martinique,41.6,TOTAL,T,Y15-29,Sheet 2
2015,FRY2,Martinique,35.7,TOTAL,T,Y15-29,Sheet 2
2016,FRY2,Martinique,36.4,TOTAL,T,Y15-29,Sheet 2
2017,FRY2,Martinique,38.4,TOTAL,T,Y15-29,Sheet 2
2018,FRY2,Martinique,40.7,TOTAL,T,Y15-29,Sheet 2
2019,FRY2,Martinique,36.4,TOTAL,T,Y15-29,Sheet 2
2020,FRY2,Martinique,28.8,TOTAL,T,Y15-29,Sheet 2
2021,FRY2,Martinique,31.0,TOTAL,T,Y15-29,Sheet 2
2022,FRY2,Martinique,30.9,TOTAL,T,Y15-29,Sheet 2
2023,FRY2,Martinique,24.3,TOTAL,T,Y15-29,Sheet 2
2024,FRY2,Martinique,28.8,TOTAL,T,Y15-29,Sheet 2
2007,FRY3,Guyane,30.8,TOTAL,T,Y15-29,Sheet 2
2008,FRY3,Guyane,32.4,TOTAL,T,Y15-29,Sheet 2
2009,FRY3,Guyane,29.6,TOTAL,T,Y15-29,Sheet 2
2010,FRY3,Guyane,31.2,TOTAL,T,Y15-29,Sheet 2
2011,FRY3,Guyane,34.8,TOTAL,T,Y15-29,Sheet 2
2012,FRY3,Guyane,40.2,TOTAL,T,Y15-29,Sheet 2
2013,FRY3,Guyane,32.0,TOTAL,T,Y15-29,Sheet 2
2014,FRY3,Guyane,34.1,TOTAL,T,Y15-29,Sheet 2
2015,FRY3,Guyane,34.7,TOTAL,T,Y15-29,Sheet 2
2016,FRY3,Guyane,35.0,TOTAL,T,Y15-29,Sheet 2
2017,FRY3,Guyane,35.8,TOTAL,T,Y15-29,Sheet 2
2018,FRY3,Guyane,32.0,TOTAL,T,Y15-29,Sheet 2
2019,FRY3,Guyane,29.8,TOTAL,T,Y15-29,Sheet 2
2020,FRY3,Guyane,28.5,TOTAL,T,Y15-29,Sheet 2
2021,FRY3,Guyane,27.6,TOTAL,T,Y15-29,Sheet 2
2022,FRY3,Guyane,25.7,TOTAL,T,Y15-29,Sheet 2
2023,FRY3,Guyane,22.2,TOTAL,T,Y15-29,Sheet 2
2024,FRY3,Guyane,29.8,TOTAL,T,Y15-29,Sheet 2
