DATAFLOW	LAST UPDATE	freq	isced11	sex	age	unit	geo	TIME_PERIOD	OBS_VALUE	OBS_FLAG	CONF_STATUS
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRC1	2014	111.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRC2	2014	73.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRD1	2014	106.9		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRD2	2014	140.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRE1	2014	306.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRE2	2014	169.9		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRF1	2014	119.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRF2	2014	109.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRF3	2014	145.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRG0	2014	206.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRH0	2014	137.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRI1	2014	172.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRI2	2014	37.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRI3	2014	113.2		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRJ1	2014	184.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRJ2	2014	136.2		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRK1	2014	87.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRK2	2014	338.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRL0	2014	305.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y25-64	THS_PER	FRM0	2014	11.5	u	
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FR10	2014	147.0		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRB0	2014	22.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRC1	2014	15.0		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRC2	2014	12.3		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRD1	2014	13.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRD2	2014	24.0		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRE1	2014	51.9		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRE2	2014	28.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRF1	2014	19.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRF2	2014	18.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRF3	2014	26.3		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRG0	2014	24.3		
