year,drgn1,region_code,region_name,dgn,sex,education,educ_code,educ3,gsur,age_group_used,region_key
2007,10,FRJ,Occitanie,1,M,ED5-8,educH,2,0.040999999999999995,Y20-64,10
2007,10,FRJ,Occitanie,1,M,TOTAL,educALL,-1,0.08199999999999999,Y20-64,10
2007,11,FRK,Auvergne-Rhône-Alpes,0,F,ED0-2,educL,0,0.09300000000000001,Y20-64,11
2007,11,FRK,Auvergne-Rhône-Alpes,0,F,ED3_4,educM,1,0.073,Y20-64,11
2007,11,FRK,Auvergne-Rhône-Alpes,0,F,ED5-8,educH,2,0.05,Y20-64,11
2007,11,FRK,Auvergne-Rhône-Alpes,0,F,TOTAL,educALL,-1,0.07,Y20-64,11
2007,11,FRK,Auvergne-Rhône-Alpes,1,M,ED0-2,educL,0,0.078,Y20-64,11
2007,11,FRK,Auvergne-Rhône-Alpes,1,M,ED3_4,educM,1,0.054000000000000006,Y20-64,11
2007,11,FRK,Auvergne-Rhône-Alpes,1,M,ED5-8,educH,2,0.043,Y20-64,11
2007,11,FRK,Auvergne-Rhône-Alpes,1,M,TOTAL,educALL,-1,0.057,Y20-64,11
2007,12,FRL,Provence-Alpes-Côte d’Azur,0,F,ED0-2,educL,0,0.132,Y20-64,12
2007,12,FRL,Provence-Alpes-Côte d’Azur,0,F,ED3_4,educM,1,0.094,Y20-64,12
2007,12,FRL,Provence-Alpes-Côte d’Azur,0,F,ED5-8,educH,2,0.057,Y20-64,12
2007,12,FRL,Provence-Alpes-Côte d’Azur,0,F,TOTAL,educALL,-1,0.094,Y20-64,12
2007,12,FRL,Provence-Alpes-Côte d’Azur,1,M,ED0-2,educL,0,0.12,Y20-64,12
2007,12,FRL,Provence-Alpes-Côte d’Azur,1,M,ED3_4,educM,1,0.062,Y20-64,12
2007,12,FRL,Provence-Alpes-Côte d’Azur,1,M,ED5-8,educH,2,0.053,Y20-64,12
2007,12,FRL,Provence-Alpes-Côte d’Azur,1,M,TOTAL,educALL,-1,0.078,Y20-64,12
2007,13,FRM,Corse,0,F,ED0-2,educL,0,,Y20-64,13
2007,13,FRM,Corse,0,F,ED3_4,educM,1,,Y20-64,13
2007,13,FRM,Corse,0,F,ED5-8,educH,2,,Y20-64,13
2007,13,FRM,Corse,0,F,TOTAL,educALL,-1,,Y20-64,13
2007,13,FRM,Corse,1,M,ED0-2,educL,0,,Y20-64,13
2007,13,FRM,Corse,1,M,ED3_4,educM,1,,Y20-64,13
2007,13,FRM,Corse,1,M,ED5-8,educH,2,,Y20-64,13
2007,13,FRM,Corse,1,M,TOTAL,educALL,-1,,Y20-64,13
2007,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,0,F,ED0-2,educL,0,0.369,Y20-64,14
2007,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,0,F,ED3_4,educM,1,0.214,Y20-64,14
2007,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,0,F,ED5-8,educH,2,0.069,Y20-64,14
2007,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,0,F,TOTAL,educALL,-1,0.24,Y20-64,14
2007,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,1,M,ED0-2,educL,0,0.262,Y20-64,14
2007,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,1,M,ED3_4,educM,1,0.185,Y20-64,14
2007,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,1,M,ED5-8,educH,2,0.068,Y20-64,14
2007,14,FRY,RUP FR — Régions Ultrapériphériques Françaises,1,M,TOTAL,educALL,-1,0.19899999999999998,Y20-64,14
2008,0,FR,France,0,F,ED0-2,educL,0,0.11900000000000001,Y20-64,0
2008,0,FR,France,0,F,ED3_4,educM,1,0.075,Y20-64,0
