hh,year,status,tudef,joint_dispy_abs_diff,clean_joint_dispy,stored_joint_dispy,ils_ben_max_abs,ils_tax_max_abs,ils_origy_max_abs,ils_sicdy_max_abs,localised_to
100000049200,2015,PASS,0,0.0,3674.681759459686,3674.681759459686,0.0,0.0,0.0,0.0,
100000049500,2015,FAIL,0,860.5886830181862,4881.395923234627,5741.984606252813,528.05,165.98893301818612,0.0,0.0,ils_ben
100000051100,2015,FAIL,0,184.61230000000023,3476.38134054368,3291.7690405436797,185.53999999999996,0.9276999999999873,0.0,0.0,ils_ben
100000051800,2015,PASS,0,0.0,6296.043165378267,6296.043165378267,0.0,0.0,0.0,0.0,
100000052500,2015,FAIL,0,170.98963135305394,3520.205887378129,3349.216256025075,135.99999999999997,34.989631353053625,0.0,0.0,ils_ben
100000052900,2015,FAIL,0,695.7680425890821,3256.0929093895843,3951.8609519786664,352.2308340006667,12.122608588415517,0.0,0.0,ils_ben
100000054000,2015,FAIL,0,66.56043198069528,2401.1004134429713,2467.6608454236666,0.0,66.56043198069537,0.0,0.0,ils_tax
100000054100,2015,PASS,0,0.0,3536.233253532104,3536.233253532104,0.0,0.0,0.0,0.0,
100000054200,2015,FAIL,0,721.4891588335304,4171.652706924468,4893.141865757998,463.05999999999995,74.61445883353028,0.0,0.0,ils_ben
100000054500,2015,FAIL,0,182.18464315259052,3482.3910488048755,3664.575691957466,0.0,182.18464315259055,0.0,0.0,ils_tax
100000054900,2015,FAIL,0,822.7819868342563,4520.418348273599,3697.6363614393426,302.53,168.80287603451703,0.0,0.0,ils_ben
100000055900,2015,FAIL,0,978.5780333333332,8212.79872533234,9191.376758665674,463.05999999999995,515.5180333333335,0.0,0.0,ils_tax
100000056700,2015,PASS,0,0.0,4601.080143366656,4601.080143366656,0.0,0.0,0.0,0.0,
100000056800,2015,PASS,0,0.0,3156.414983560058,3156.414983560058,0.0,0.0,0.0,0.0,
100000057900,2015,FAIL,0,44.7675136640255,3223.625113763912,3178.8576000998864,0.0,44.767513664025216,0.0,0.0,ils_tax
100000058600,2015,FAIL,0,246.6713551423809,4035.2548614917077,3788.583506349327,185.54000000000002,61.13135514238064,0.0,0.0,ils_ben
100000058700,2015,FAIL,0,254.34999999999945,7484.884909991419,7739.234909991418,130.0,124.34999999999991,0.0,0.0,ils_ben
