stacked_hh_uid,draw,idperson,dgn,lhw,stored_ils_dispy,reprice_ils_dispy,absdiff_ils_dispy,absdiff_ils_origy,absdiff_ils_ben,absdiff_ils_tax,absdiff_ils_sicdy,stored_ils_ben,FAIL
200001502500,1,150250005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,2,150250001.0,0.0,30.006963709847298,1669.3641031962907,1669.3641031962907,0.0,0.0,0.0,0.0,0.0,617.9673720153481,False
200001502500,2,150250004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,2,150250005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,3,150250001.0,0.0,19.88235011929767,1711.1563404322344,1870.5297661417467,159.37342570951228,0.0,159.37342570951216,0.0,0.0,582.1345260722235,True
200001502500,3,150250004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,3,150250005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,4,150250001.0,0.0,17.973014835510504,1522.5501557042373,1522.5501557042373,0.0,0.0,0.0,0.0,0.0,1089.558052864564,False
200001502500,4,150250004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,4,150250005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,5,150250001.0,0.0,18.204783096850257,1791.6867245202152,1606.4751889230001,185.21153559721506,0.0,185.21153559721506,0.0,0.0,857.1001361881665,True
200001502500,5,150250004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,5,150250005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001502500,6,150250001.0,0.0,9.591285009619554,1486.1924404167876,1313.319207083454,172.87323333333347,0.0,174.06914116666678,1.1959078333333366,0.0,1111.8418138471945,True
200001502500,6,150250004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,0,150430001.0,1.0,55.0,4000.6830596259842,4000.6830596259842,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,1,150430001.0,1.0,18.090668688243802,952.6462956729456,952.6462956729456,0.0,0.0,0.0,0.0,0.0,282.87544909866546,False
200001504300,2,150430001.0,1.0,36.50989989049834,1987.6811431962094,1987.6811431962094,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,3,150430001.0,1.0,36.142162844647714,1961.7447634808468,1961.7447634808468,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,4,150430001.0,1.0,18.05818829523079,1610.6662605744991,1610.6662605744991,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,5,150430001.0,1.0,29.252190521080966,1173.8626258779104,1173.8626258779104,0.0,0.0,0.0,0.0,0.0,78.09510237381193,False
200001504300,6,150430001.0,1.0,35.730912169688935,2159.7048186455922,2159.7048186455922,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,7,150430001.0,1.0,33.81649620984297,1420.0590681275587,1420.0590681275587,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,8,150430001.0,1.0,35.87898929007981,2779.107602318116,2779.107602318116,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,9,150430001.0,1.0,20.47648304590799,969.3197569951896,969.3197569951896,0.0,0.0,0.0,0.0,0.0,276.1753488051711,False
200001504300,10,150430001.0,1.0,36.06896354790448,2307.9600988102047,2307.9600988102047,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,11,150430001.0,1.0,35.74527678165538,1857.3064091507488,1857.3064091507488,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,12,150430001.0,1.0,37.979502583707664,3214.037785219163,3214.037785219163,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,13,150430001.0,1.0,31.29879722063602,986.0999689642265,1078.61923101094,92.5192620467135,0.0,92.51926204671366,0.0,0.0,269.4323515974675,True
200001504300,14,150430001.0,1.0,20.262381129267638,1271.3500192979604,1271.3500192979604,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,15,150430001.0,1.0,40.33311222184218,1837.7030178081754,1837.7030178081754,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,16,150430001.0,1.0,38.88121011094181,2748.7969100038704,2748.7969100038704,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,17,150430001.0,1.0,21.31363032856872,1131.5040372681572,1131.5040372681572,0.0,0.0,0.0,0.0,0.0,188.20673731775415,False
200001504300,18,150430001.0,1.0,34.16093964444871,2263.9143995006566,2263.9143995006566,0.0,0.0,0.0,0.0,0.0,0.0,False
200001504300,19,150430001.0,1.0,58.30062174000478,2827.9696351142447,2827.9696351142447,0.0,0.0,0.0,0.0,0.0,0.0,False
